,Date time,Minimum Temperature,Maximum Temperature,Wind Speed,Precipitation
128,05/09/2018,20.1,26.4,3.6,0.0
129,05/10/2018,28.1,29.4,7.6,0.0
130,05/11/2018,19.4,28.9,7.2,0.0
131,05/12/2018,21.1,21.1,9.4,0.0
132,05/13/2018,21.7,31.3,6.7,0.0
133,05/14/2018,19.5,29.7,13.0,0.0
134,05/15/2018,,,,
135,05/16/2018,23.1,32.3,11.2,0.0
136,05/17/2018,23.9,31.1,11.2,0.0
137,05/18/2018,21.4,32.0,11.4,0.0
138,05/19/2018,22.9,31.1,25.9,0.0
139,05/20/2018,21.5,30.9,7.2,0.0
140,05/21/2018,13.1,30.9,7.2,0.0
141,05/22/2018,21.2,32.1,7.2,0.0
142,05/23/2018,22.7,32.1,9.4,0.0
143,05/24/2018,23.7,30.2,3.6,0.0
144,05/25/2018,20.1,34.1,7.2,0.0
145,05/26/2018,20.1,33.1,11.2,0.0
146,05/27/2018,23.6,36.6,7.2,0.0
147,05/28/2018,19.1,25.1,7.6,0.0
148,05/29/2018,22.3,34.6,7.4,0.0
149,05/30/2018,23.4,26.1,7.2,0.0
150,05/31/2018,22.9,22.9,3.6,0.0
151,06/01/2018,23.7,23.7,3.6,0.0
152,06/02/2018,23.4,23.4,3.6,0.0
153,06/03/2018,22.9,33.1,7.2,0.0
154,06/04/2018,22.9,34.1,3.6,0.0
155,06/05/2018,22.4,32.1,7.2,0.0
156,06/06/2018,23.7,30.1,7.6,0.0
157,06/07/2018,22.4,32.1,5.4,0.0
158,06/08/2018,21.4,31.7,7.2,0.0
159,06/09/2018,21.4,21.4,3.6,0.0
160,06/10/2018,20.4,29.1,7.2,0.0
161,06/11/2018,27.7,27.7,3.6,0.0
162,06/12/2018,20.4,26.9,11.2,1.0
163,06/13/2018,19.7,26.1,13.0,0.0
164,06/14/2018,20.7,20.7,3.6,0.0
165,06/15/2018,19.1,29.1,18.4,0.0
166,06/16/2018,20.4,22.1,7.2,0.0
167,06/17/2018,19.1,27.7,7.6,0.0
168,06/18/2018,19.9,28.7,22.3,0.0
169,06/19/2018,17.2,23.6,7.2,0.8
170,06/20/2018,17.4,20.1,9.4,0.0
171,06/21/2018,20.4,28.1,13.0,0.0
172,06/22/2018,18.1,23.9,3.6,0.0
173,06/23/2018,16.1,27.1,13.0,0.0
174,06/24/2018,16.6,25.6,7.2,10.4
175,06/25/2018,19.9,27.9,10.8,0.0
176,06/26/2018,17.1,23.1,7.6,0.0
177,06/27/2018,18.1,18.1,0.0,0.0
178,06/28/2018,,,,
179,06/29/2018,16.1,16.1,0.0,0.0
180,06/30/2018,20.1,27.1,7.6,0.0
181,07/01/2018,20.5,21.1,9.4,0.0
182,07/02/2018,19.1,28.3,4.0,0.0
183,07/03/2018,20.7,27.1,6.7,0.0
184,07/04/2018,19.4,19.4,3.6,0.0
185,07/05/2018,19.4,19.4,3.6,0.0
186,07/06/2018,20.7,28.1,18.4,0.0
187,07/07/2018,20.8,24.1,11.2,0.0
188,07/08/2018,25.1,26.5,13.0,0.0
189,07/09/2018,17.1,23.1,7.2,0.7
190,07/10/2018,19.9,27.1,11.2,0.0
191,07/11/2018,19.2,25.1,5.4,0.0
192,07/12/2018,19.1,21.1,7.6,0.0
193,07/13/2018,14.1,27.6,13.0,0.0
194,07/14/2018,21.2,26.1,13.0,0.0
195,07/15/2018,16.1,24.4,3.6,0.0
196,07/16/2018,18.4,25.7,3.6,0.0
197,07/17/2018,17.1,26.6,11.2,0.0
198,07/18/2018,15.1,18.1,3.6,0.0
199,07/19/2018,15.1,20.4,3.4,0.0
200,07/20/2018,20.8,29.2,9.4,0.0
201,07/21/2018,17.1,18.1,7.6,2.2
202,07/22/2018,20.7,29.5,7.2,0.0
203,07/23/2018,22.1,30.3,3.6,0.0
204,07/24/2018,23.2,30.9,7.2,0.0
205,07/25/2018,18.1,20.4,3.6,0.0
206,07/26/2018,22.9,23.1,37.1,0.0
207,07/27/2018,20.7,28.9,3.6,0.0
208,07/28/2018,18.7,28.1,11.2,0.0
209,07/29/2018,14.1,28.3,7.6,0.0
210,07/30/2018,21.4,29.6,3.6,0.0
211,07/31/2018,20.8,28.5,7.2,0.0
212,08/01/2018,19.1,19.1,3.6,0.0
213,08/02/2018,20.7,27.1,14.8,0.0
214,08/03/2018,19.1,28.4,9.4,0.0
215,08/04/2018,20.4,24.1,11.2,0.0
216,08/05/2018,19.7,26.6,3.6,0.0
217,08/06/2018,20.2,26.9,9.4,0.0
218,08/07/2018,19.4,26.1,3.6,0.0
219,08/08/2018,17.1,20.2,3.6,0.0
220,08/09/2018,17.4,22.1,3.6,0.0
221,08/10/2018,17.7,27.4,3.6,0.0
222,08/11/2018,18.4,18.4,3.6,0.0
223,08/12/2018,20.7,27.1,3.8,0.0
224,08/13/2018,23.1,25.7,13.0,0.0
225,08/14/2018,18.9,18.9,3.6,0.0
226,08/15/2018,18.1,24.1,5.4,0.0
227,08/16/2018,17.9,17.9,3.6,2.0
228,08/17/2018,19.9,28.2,3.6,0.0
229,08/18/2018,16.1,19.9,5.4,0.5
230,08/19/2018,21.4,28.1,5.4,0.0
231,08/20/2018,20.8,28.7,3.6,0.0
232,08/21/2018,16.1,25.1,14.8,0.0
233,08/22/2018,19.4,20.1,7.6,0.0
234,08/23/2018,19.4,19.4,3.6,0.0
235,08/24/2018,19.4,26.9,9.4,0.0
236,08/25/2018,25.1,27.1,0.0,0.0
237,08/26/2018,15.1,26.5,7.2,0.0
238,08/27/2018,19.9,26.9,9.4,0.0
239,08/28/2018,18.1,27.0,3.6,0.0
240,08/29/2018,17.7,17.7,3.6,0.0
241,08/30/2018,18.9,26.1,9.4,0.0
242,08/31/2018,17.1,25.1,13.0,0.0
243,09/01/2018,19.1,19.1,3.4,5.0
244,09/02/2018,19.7,26.4,7.2,0.0
245,09/03/2018,21.4,27.9,9.4,0.0
246,09/04/2018,18.8,27.6,3.7,0.0
247,09/05/2018,16.1,27.6,7.6,0.0
248,09/06/2018,20.2,25.2,3.6,0.0
249,09/07/2018,19.6,27.6,7.1,0.0
250,09/08/2018,18.4,26.4,7.2,0.0
251,09/09/2018,19.2,27.1,10.8,0.0
252,09/10/2018,20.4,25.7,3.6,0.0
253,09/11/2018,19.9,25.7,3.6,2.0
254,09/12/2018,17.1,26.4,7.6,0.0
255,09/13/2018,20.1,25.1,7.6,7.0
256,09/14/2018,19.1,27.1,14.8,0.0
257,09/15/2018,18.1,18.7,3.6,0.0
258,09/16/2018,18.9,22.9,3.6,9.7
259,09/17/2018,,,,
260,09/18/2018,18.4,24.6,14.8,0.0
