TOTAL,ANIO,MES,DIA,DIA2,Tmin,Tmax,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,
69,1,3,22,3,18.6,30.3,24.5,33.28,7.6,265,37.59335449,
80,1,3,23,4,19.1,30.9,25.8,33.41,7.2,73.67,28.12397849,
80,1,3,24,5,16.1,30.3,22.5,43.89,10.8,163.33,19.35422439,
64,1,3,25,6,18.1,31.1,24.9,45.04,7.2,90,11.71678602,
86,1,3,26,7,18.6,30.9,25.7,44.94,10.8,160,5.664378409,
73,1,3,27,1,16.1,30.2,25.1,32.48,7.6,245,1.638111116,
78,1,3,28,2,17.1,30.9,25.3,33,7.2,150,0.018612383,
85,1,3,29,3,16.1,28.9,23.6,28.63,11.9,147.25,1.065448034,
56,1,3,30,4,14.6,29.9,24.5,29.56,7.6,172.5,4.857744283,
71,1,3,31,5,16.1,26.5,21.3,46.03,7.9,96.5,11.25346652,
83,1,4,1,6,10.1,30.9,20.5,38.64,8.9,93.33,19.88301646,
68,1,4,2,7,17.6,29.7,24.8,27.38,10.9,190.33,30.18384842,
84,1,4,3,1,14.6,20.1,17.3,44.25,3.6,70,41.46987137,
70,1,4,4,2,27.2,31.2,29.1,14.49,24.1,210,53.01836076,
80,1,4,5,3,17.6,31.6,25.9,38.87,7.2,176.67,64.15297119,
94,1,4,6,4,20.1,27.9,24,39.76,3.6,90,74.30538626,
68,1,4,7,5,15.1,31.6,25.5,27.4,10.8,185,83.04726139,
83,1,4,8,6,16,32,22.85,51.98,8.09,160,90.09376787,
68,1,4,9,7,21.7,31.9,27.8,23.28,10.8,130,95.28663028,
64,1,4,10,1,14.1,21.1,17.6,42.28,5.4,55,98.56684529,
69,1,4,11,2,20.5,32.1,26.3,27.33,37.1,215,99.94608141,
67,1,4,12,3,20.1,20.1,20.1,51.17,3.6,90,99.48275858,
59,1,4,13,4,19.1,26.1,22.6,35.84,5.4,125,97.26553874,
57,1,4,14,5,19.1,24.1,21.6,37.62,3.4,90,93.4043903,
73,1,4,15,6,19.6,31.6,26.3,28.88,11.2,144,88.02791085,
63,1,4,16,7,28.6,28.6,28.6,22.92,7.2,120,81.28518054,
72,1,4,17,1,24.1,24.1,24.1,13.14,11.2,340,73.35079351,
56,1,4,18,2,18.1,29.1,25.6,15.18,22.3,230,64.43241817,
71,1,4,19,3,18.1,31.1,25.6,38.16,7.2,80,54.78070185,
65,1,4,20,4,19.6,19.6,19.6,51.03,3.6,90,44.70100627,
62,1,4,21,5,16.1,32.7,23.8,36.73,14.8,222.5,34.56500771,
59,1,4,22,6,12,33,22.85,51.98,8.09,180,24.81778303,
69,1,4,23,7,24.1,29.1,27.1,25,11.2,106.67,15.9735244,
53,1,4,24,1,21.1,29.7,25.8,43.61,7.6,157.5,8.592110368,
