Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","02/02/2018",12.6,27.2,20.7,9.9,56.58,26.5,7.2,,120,,0,0,,12,26.7,1017.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/03/2018",13.6,24.1,19.4,12.2,66.17,,3.6,,90,,0,0,,12,60,1016.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/04/2018",27.1,27.9,27.5,2.1,19.49,26.7,3.6,,290,,0,0,,14.1,55,1011.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/05/2018",26.9,26.9,26.9,6.4,27.13,26.2,3.6,,270,,0,0,,12,60,1011,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/06/2018",14.6,26.2,22.7,8.5,45.07,,10.8,,163.33,,0,0,,13,52.5,1015.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/07/2018",10.1,24.6,19.6,5.8,46.47,,13,,335,,0,0,,13.1,86.7,1013.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","02/08/2018",15.6,23.9,20.7,9.7,51.68,,7.4,,113.5,,0,0,,10.6,72.3,1014.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/09/2018",13.6,16.9,15.6,12.6,82.58,,3.6,,140,,1,10,,11,85,1017.7,"Light Drizzle, Light Rain",20.72163,-103.39335,"Zapopan, JAL, México","","","Rain, Overcast"
"zapopan","02/10/2018",10.9,21.1,16.9,9.8,67.48,,11.2,,145,,0,0,,12.9,77.8,1016.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","02/11/2018",20.1,22.6,21.3,9,46.05,,3.7,,160.5,,0,0,,12,65.3,1014.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/12/2018",13.7,26.1,22.1,5.6,37.88,,14.8,,214,,0,0,,14.5,54,1016,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/13/2018",10.1,26.9,18.4,9.4,61.57,26.5,7.2,,80,,0,0,,12.2,52.5,1019,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/14/2018",21.8,25.6,23.5,11.6,47.6,,7.2,,123.33,,0,0,,14.6,30,1017.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/15/2018",16.6,27.1,23.3,9.2,43.24,26.4,3.6,,146.67,,0,0,,10.7,8,1016,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/16/2018",16.1,27.4,22.5,10.8,50.87,26.8,3.6,,180,,0,0,,12,63.3,1013,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/17/2018",16.1,28.1,23.7,10.7,46.84,27.6,9.4,,87.5,,0,0,,13,10,1014.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/18/2018",19.1,26.1,22.9,8.4,40.09,,7.2,,260,,0,0,,12.3,20,1011.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/19/2018",12.1,25.9,19,7.9,53.99,,7.2,,240,,0,0,,14.1,40,1008.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/20/2018",22.6,24.9,23.7,8.2,37.71,,7.2,,185,,0,0,,12.1,35.6,1013.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/21/2018",22.1,25.1,23.8,5.8,31.95,,13,,150,,0,0,,12.6,46.7,1013.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/22/2018",14.6,27.1,21.6,10.6,53.2,26.6,7.2,,233.33,,0,0,,12,23.3,1017.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/23/2018",15.6,27.7,22.2,7.7,43.29,26.7,7.2,,220,,0,0,,13,17.5,1016.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/24/2018",16,28.1,23,8.8,42.46,27.3,10.8,,90,,0,0,,12.2,0,1014.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/25/2018",22.1,22.1,22.1,5.1,33.05,,5.4,,130,,0,0,,11.3,50,,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/26/2018",15.9,27.9,21.3,7.3,44.02,26.9,7.2,,220,,0,0,,13.4,16.7,1015.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/27/2018",15.1,28.1,23.6,7.1,40.21,26.7,7.6,,100,,0,0,,13,42.5,1015.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/28/2018",27.1,28.4,27.8,5.8,24.96,27.4,18.4,,303.33,,0,0,,14.7,60,1009.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
