,Date time,Minimum Temperature,Maximum Temperature,Wind Speed,Precipitation
0,01/01/2019,16.6,21.1,13.0,0.0
1,01/02/2019,9.7,22.9,3.6,0.0
2,01/03/2019,11.7,24.1,7.2,0.0
3,01/04/2019,12.1,24.9,3.6,0.0
4,01/05/2019,11.9,25.9,3.6,0.0
5,01/06/2019,12.1,23.0,6.7,0.0
6,01/07/2019,11.1,26.7,3.6,0.0
7,01/08/2019,23.4,27.1,3.6,0.0
8,01/09/2019,8.2,18.7,7.2,0.0
9,01/10/2019,10.9,23.6,16.6,0.0
10,01/11/2019,14.9,23.2,7.2,0.0
11,01/12/2019,12.4,23.7,3.6,0.0
12,01/13/2019,21.6,25.2,3.6,0.0
13,01/14/2019,12.2,24.2,7.2,0.0
14,01/15/2019,14.4,21.4,3.6,0.7
15,01/16/2019,13.2,23.7,3.6,0.0
16,01/17/2019,14.1,19.7,3.6,0.0
17,01/18/2019,12.9,21.7,3.6,0.0
18,01/19/2019,11.7,26.1,7.6,0.0
19,01/20/2019,12.9,23.1,7.2,0.0
20,01/21/2019,9.6,25.6,9.4,0.0
21,01/22/2019,12.1,25.1,10.8,0.0
22,01/23/2019,13.7,26.1,10.8,0.0
23,01/24/2019,10.7,25.1,7.2,0.0
24,01/25/2019,12.6,25.7,7.2,0.0
25,01/26/2019,14.4,24.2,10.8,0.0
26,01/27/2019,10.6,23.2,7.2,0.0
27,01/28/2019,7.1,23.9,7.2,0.0
28,01/29/2019,9.2,24.4,3.6,0.0
29,01/30/2019,8.9,25.1,22.3,0.0
30,01/31/2019,11.6,23.2,3.6,0.0
31,02/01/2019,10.4,25.1,10.8,0.0
32,02/02/2019,13.6,26.1,14.8,0.0
33,02/03/2019,21.7,26.4,7.2,0.0
34,02/04/2019,12.0,27.1,3.6,0.0
35,02/05/2019,13.7,28.6,3.6,0.0
36,02/06/2019,13.1,29.4,20.5,0.0
37,02/07/2019,12.7,27.9,3.6,0.0
38,02/08/2019,14.1,27.6,7.2,0.0
39,02/09/2019,15.2,25.6,3.6,0.0
40,02/10/2019,22.6,26.2,7.2,0.0
41,02/11/2019,16.2,26.1,18.4,0.0
42,02/12/2019,14.4,26.2,3.6,0.0
43,02/13/2019,14.9,26.6,7.2,0.0
44,02/14/2019,9.1,28.1,24.1,0.0
45,02/15/2019,15.1,29.4,3.6,0.0
46,02/16/2019,16.4,31.7,7.2,0.0
47,02/17/2019,15.1,28.1,10.8,0.0
48,02/18/2019,15.7,30.0,7.2,0.0
49,02/19/2019,14.9,27.7,10.8,0.0
50,02/20/2019,15.1,28.1,18.4,0.0
51,02/21/2019,13.7,26.9,14.4,0.0
52,02/22/2019,15.6,26.1,7.2,0.0
53,02/23/2019,15.7,25.1,7.2,0.0
54,02/24/2019,13.6,29.4,3.6,0.0
55,02/25/2019,16.9,28.2,7.2,0.0
56,02/26/2019,17.2,29.4,10.8,0.0
57,02/27/2019,18.4,31.1,14.8,0.0
58,02/28/2019,10.1,31.7,7.2,0.0
59,03/01/2019,16.2,30.9,24.1,0.0
60,03/02/2019,17.6,31.1,7.2,0.0
61,03/03/2019,15.2,32.1,20.5,0.0
62,03/04/2019,16.4,32.3,11.4,0.0
63,03/05/2019,18.2,32.2,3.6,0.0
64,03/06/2019,18.4,30.9,3.6,0.0
65,03/07/2019,17.6,30.9,10.8,0.0
66,03/08/2019,17.6,31.1,18.4,0.0
67,03/09/2019,17.4,31.7,14.8,0.0
68,03/10/2019,26.6,31.6,7.2,0.0
69,03/11/2019,17.2,33.4,3.6,0.0
70,03/12/2019,18.7,29.9,13.0,0.0
71,03/13/2019,18.1,28.1,24.1,0.0
72,03/14/2019,18.7,30.3,9.4,0.0
73,03/15/2019,18.4,30.6,7.2,0.0
74,03/16/2019,16.4,27.5,8.4,0.0
75,03/17/2019,18.5,27.9,7.2,0.0
76,03/18/2019,18.1,28.4,10.8,0.0
77,03/19/2019,16.2,28.9,7.2,0.0
78,03/20/2019,16.9,27.9,10.8,0.0
79,03/21/2019,17.6,29.6,11.2,0.0
80,03/22/2019,17.6,28.6,10.8,0.0
81,03/23/2019,17.4,28.1,20.5,0.0
82,03/24/2019,18.7,29.9,7.2,0.0
83,03/25/2019,18.7,32.1,7.2,0.0
84,03/26/2019,19.9,31.7,7.2,0.0
85,03/27/2019,18.9,29.1,3.6,0.0
86,03/28/2019,20.7,30.7,7.2,0.0
87,03/29/2019,19.1,31.9,25.9,0.0
88,03/30/2019,28.6,32.2,10.8,0.0
89,03/31/2019,19.4,31.6,7.2,0.0
90,04/01/2019,27.7,30.2,10.8,0.0
91,04/02/2019,19.9,29.4,14.8,0.0
92,04/03/2019,19.4,29.6,9.4,0.0
93,04/04/2019,28.9,28.9,10.8,0.0
94,04/05/2019,20.2,28.9,7.2,0.0
95,04/06/2019,18.1,30.0,29.5,0.0
96,04/07/2019,16.9,30.3,9.4,0.0
97,04/08/2019,19.1,29.2,13.0,0.0
98,04/09/2019,19.4,19.4,3.6,0.0
99,04/10/2019,19.6,31.1,7.2,0.0
100,04/11/2019,20.4,29.9,10.8,0.0
101,04/12/2019,19.6,29.2,10.8,0.0
102,04/13/2019,17.1,28.6,10.8,0.0
103,04/14/2019,15.9,29.6,3.6,0.0
104,04/15/2019,19.1,32.4,7.2,0.0
105,04/16/2019,20.1,33.6,10.8,0.0
106,04/17/2019,20.5,32.4,20.5,0.0
107,04/18/2019,16.1,32.2,10.8,0.0
108,04/19/2019,20.2,29.9,16.6,0.0
109,04/20/2019,20.2,32.1,7.2,0.0
110,04/21/2019,21.1,32.1,14.8,0.0
111,04/22/2019,21.1,30.2,7.2,0.0
112,04/23/2019,21.7,31.1,14.8,0.0
113,04/24/2019,19.9,27.1,7.2,0.0
114,04/25/2019,20.8,29.1,7.2,0.0
115,04/26/2019,21.2,31.7,3.6,0.0
116,04/27/2019,22.1,31.4,7.2,0.0
117,04/28/2019,20.4,28.9,3.6,0.0
118,04/29/2019,22.1,32.4,10.8,0.0
119,04/30/2019,22.1,34.6,14.8,0.0
120,05/01/2019,23.4,34.4,7.2,0.0
121,05/02/2019,23.2,34.4,7.2,0.0
122,05/03/2019,23.7,32.7,10.8,0.0
123,05/04/2019,23.2,31.6,10.8,0.0
124,05/05/2019,22.6,32.4,10.8,0.0
125,05/06/2019,20.1,29.1,10.8,0.0
126,05/07/2019,11.1,30.0,14.8,0.0
127,05/08/2019,21.1,32.4,35.3,0.0
128,05/09/2019,19.6,32.2,9.4,0.0
129,05/10/2019,21.2,31.6,9.4,0.0
130,05/11/2019,22.1,33.1,18.4,0.0
131,05/12/2019,19.1,30.9,11.2,0.0
132,05/13/2019,21.4,33.1,7.2,0.0
133,05/14/2019,22.6,34.4,10.8,0.0
134,05/15/2019,21.2,33.4,7.2,0.0
135,05/16/2019,,,,
136,05/17/2019,,,,
137,05/18/2019,,,,
138,05/19/2019,,,,
139,05/20/2019,30.9,33.1,10.8,0.0
140,05/21/2019,23.9,33.2,20.5,0.0
141,05/22/2019,22.2,33.4,9.4,0.0
142,05/23/2019,23.4,33.6,7.2,0.0
143,05/24/2019,23.6,29.2,7.2,0.0
144,05/25/2019,23.2,33.1,13.0,0.0
145,05/26/2019,22.9,31.6,7.2,0.0
146,05/27/2019,24.1,28.2,7.2,0.0
147,05/28/2019,22.4,28.4,7.2,0.0
148,05/29/2019,23.2,32.4,10.8,0.0
149,05/30/2019,20.8,34.1,10.8,0.0
