Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","01/01/2017",12.7,22.2,17.4,11.7,72.96,,3.6,,360,,0,0,,12,25,1019.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/02/2017",19.1,25.3,22.6,9,42.87,,7.6,,91.5,,0,0,,11.2,2.3,1016.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/03/2017",11.1,26.7,19.8,7.7,51.65,26.2,7.2,,94.67,,0,0,,12,17.7,1017.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/04/2017",10.1,26.1,19.9,4.1,47.11,,7.2,,90,,0,0,,11.2,0,1019.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/05/2017",10.1,24.1,17.1,9.3,65.32,,3.6,,90,,0,0,,12,0,1016.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/06/2017",10.1,23.7,16.9,8.4,63.4,,7.2,,90,,0,0,,12,0,1015.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/07/2017",17.1,17.1,17.1,4.1,42.04,,0,,,,0,0,,11.3,0,,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/08/2017",11.2,17.4,14.3,6.4,59.77,,3.6,,120,,0,0,,12,0,1026.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/09/2017",10.1,23.7,18.7,2.1,38.02,,16.6,,97.5,,0,0,,12.2,0,1024.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/10/2017",7.1,23.9,17.1,4.8,49.73,,7.2,,83.33,,0,0,,12,20,1022.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/11/2017",6.9,25.7,17.7,5.5,51.34,,7.2,,210,,0,0,,12,33.3,1019.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/12/2017",8.6,25.7,19.6,5.9,47.96,,7.2,,116.67,,0,0,,11.8,7.5,1018.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/13/2017",11,25.7,19.8,6.3,45.13,,9.4,,87.5,,0,0,,11.4,44.6,1020.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/14/2017",10.1,23.1,17.9,6.6,54.87,,7.2,,150,,0,0,,12.3,53.3,1022.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/15/2017",21.9,24.1,23,4.1,29.57,,7.2,,255,,0,0,,12,50,1016.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/16/2017",9.1,24.9,18.5,7.9,55.48,,7.2,,280,,0,0,,12,0,1016.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/17/2017",8,24.7,18.9,3.7,44.1,,7.6,,194.67,7.4,0,0,,13.8,86.9,1011.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/18/2017",11.6,20.1,15.8,12,79.78,,3.6,,190,,0,0,,12,85,1020,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/19/2017",13.9,23.4,19.7,9.8,55.71,,10.8,,283.33,,0,0,,12,60,1015,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/20/2017",19.1,23.1,21.6,6.3,38.84,,14.8,,230,,0,0,,14.7,73.3,1010.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/21/2017",8.9,24.2,18.2,5.3,49.86,,10.8,,163.33,,0,0,,12,0,1018.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/22/2017",7.1,21.1,14.1,-0.8,39.6,,3.6,,60,,0,0,,13.5,0,1021.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/23/2017",7.1,27.4,19,2.5,41.27,26.2,7.2,,95,,0,0,,12,0,1019.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/24/2017",23.7,26.2,24.9,4,26.42,,10.8,,170,,0,0,,12.3,0,1014.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/25/2017",6.1,24.9,15.8,7.5,64.55,,10.8,,250,,0,0,,12.2,0,1017.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/26/2017",19.9,25.7,22.9,7.3,37.94,,7.2,,130,,0,0,,11.8,0,1016.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/27/2017",22.4,27.2,24.8,5.7,30.64,26.2,7.2,,245,,0,0,,12,0,1015.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/28/2017",9.4,25.9,18.5,4.1,45.68,,7.2,,179.67,,0,0,,12,0,1017.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
