,Date time,Minimum Temperature,Maximum Temperature,Wind Speed,Precipitation
0,01/01/2015,9.1,24.1,5.4,0.0
1,01/02/2015,17.1,23.6,9.4,0.0
2,01/03/2015,10.7,23.4,10.8,0.0
3,01/04/2015,16.1,21.6,7.6,0.0
4,01/05/2015,15.1,16.2,14.8,0.0
5,01/06/2015,13.2,23.1,14.8,0.0
6,01/07/2015,21.7,24.2,7.8,0.0
7,01/08/2015,17.6,21.4,7.2,0.0
8,01/09/2015,19.9,19.9,3.6,0.0
9,01/10/2015,9.7,24.1,7.6,0.0
10,01/11/2015,10.1,21.1,7.6,0.0
11,01/12/2015,9.9,20.3,3.4,0.0
12,01/13/2015,7.7,23.1,16.6,0.0
13,01/14/2015,10.5,25.6,9.4,0.0
14,01/15/2015,9.2,24.9,14.8,0.0
15,01/16/2015,10.9,21.7,3.6,0.0
16,01/17/2015,7.1,22.1,4.4,0.0
17,01/18/2015,11.7,21.9,3.6,0.0
18,01/19/2015,12.7,26.1,24.1,0.0
19,01/20/2015,11.4,27.1,3.6,0.0
20,01/21/2015,14.7,26.4,7.6,0.0
21,01/22/2015,12.4,23.6,10.8,0.0
22,01/23/2015,7.1,20.4,3.6,0.0
23,01/24/2015,12.1,21.6,3.6,0.0
24,01/25/2015,13.4,21.1,7.2,0.0
25,01/26/2015,14.9,22.1,14.8,0.0
26,01/27/2015,15.1,24.3,7.2,0.0
27,01/28/2015,23.4,26.5,3.7,0.0
28,01/29/2015,12.4,28.6,9.4,0.0
29,01/30/2015,15.2,19.6,7.3,0.0
30,01/31/2015,20.1,20.1,7.6,0.0
31,02/01/2015,11.1,17.2,3.6,0.4
32,02/02/2015,12.9,17.4,3.6,0.0
33,02/03/2015,13.6,22.1,7.2,0.0
34,02/04/2015,8.3,23.1,3.6,0.0
35,02/05/2015,5.1,23.6,11.2,0.0
36,02/06/2015,10.9,21.1,3.6,0.0
37,02/07/2015,12.4,25.6,7.6,0.0
38,02/08/2015,11.9,27.1,5.4,0.0
39,02/09/2015,12.7,27.6,14.8,0.0
40,02/10/2015,9.1,25.6,18.4,0.0
41,02/11/2015,8.9,25.1,11.2,0.0
42,02/12/2015,13.1,24.1,22.3,0.0
43,02/13/2015,11.1,16.6,14.8,0.2
44,02/14/2015,11.1,17.7,25.9,0.0
45,02/15/2015,9.1,20.5,16.6,0.0
46,02/16/2015,10.1,22.1,24.1,0.0
47,02/17/2015,14.1,23.1,5.4,0.0
48,02/18/2015,8.1,27.3,11.2,0.0
49,02/19/2015,9.1,27.1,14.8,0.0
50,02/20/2015,8.1,26.1,24.1,0.0
51,02/21/2015,13.7,28.6,5.4,0.0
52,02/22/2015,15.7,28.2,9.4,0.0
53,02/23/2015,10.1,30.7,13.0,0.0
54,02/24/2015,15.1,29.1,18.4,0.0
55,02/25/2015,13.1,28.0,27.7,0.0
56,02/26/2015,9.1,26.7,27.7,0.0
57,02/27/2015,6.1,26.6,20.5,0.0
58,02/28/2015,11.2,27.1,18.4,0.0
59,03/01/2015,8.1,28.3,14.8,0.0
60,03/02/2015,8.1,29.1,13.0,0.0
61,03/03/2015,8.3,28.0,22.3,0.0
62,03/04/2015,10.1,25.1,22.3,0.0
63,03/05/2015,16.2,25.2,14.8,0.0
64,03/06/2015,15.1,27.1,18.4,0.0
65,03/07/2015,14.1,27.1,14.8,0.0
66,03/08/2015,18.5,27.1,18.4,0.0
67,03/09/2015,14.1,21.1,29.5,0.0
68,03/10/2015,7.2,17.9,26.5,1.1
69,03/11/2015,5.1,20.1,16.6,0.0
70,03/12/2015,8.1,21.7,18.4,0.0
71,03/13/2015,9.1,24.4,37.1,0.0
72,03/14/2015,14.1,17.0,25.9,3.5
73,03/15/2015,11.1,14.1,35.3,0.2
74,03/16/2015,13.1,14.4,9.4,9.5
75,03/17/2015,12.1,19.1,20.5,0.0
76,03/18/2015,9.1,23.1,22.3,0.0
77,03/19/2015,11.1,24.8,20.5,0.0
78,03/20/2015,14.1,23.5,9.4,0.0
79,03/21/2015,14.1,24.1,18.4,0.0
80,03/22/2015,13.1,26.2,16.6,0.0
81,03/23/2015,12.1,29.1,18.4,0.0
82,03/24/2015,12.1,28.3,22.3,0.0
83,03/25/2015,17.9,27.8,29.5,0.0
84,03/26/2015,11.1,27.2,27.7,0.0
85,03/27/2015,18.2,26.2,18.4,0.0
86,03/28/2015,16.1,29.0,14.8,0.0
87,03/29/2015,20.1,28.1,14.8,0.0
88,03/30/2015,12.3,28.7,14.8,0.0
89,03/31/2015,10.1,27.8,18.4,0.0
90,04/01/2015,11.1,29.0,25.3,0.0
91,04/02/2015,12.1,29.6,22.3,0.0
92,04/03/2015,14.1,29.1,18.4,0.0
93,04/04/2015,16.1,30.1,14.8,0.0
94,04/05/2015,15.1,29.7,18.4,0.0
95,04/06/2015,17.0,30.2,16.6,0.0
96,04/07/2015,13.1,30.7,16.3,0.0
97,04/08/2015,,,,
98,04/09/2015,,,,
99,04/10/2015,,,,
100,04/11/2015,,,,
101,04/12/2015,,,,
102,04/13/2015,,,,
103,04/14/2015,,,,
104,04/15/2015,,,,
105,04/16/2015,,,,
106,04/17/2015,,,,
107,04/18/2015,,,,
108,04/19/2015,,,,
109,04/20/2015,,,,
110,04/21/2015,,,,
111,04/22/2015,,,,
112,04/23/2015,,,,
113,04/24/2015,,,,
114,04/25/2015,,,,
115,04/26/2015,,,,
116,04/27/2015,,,,
117,04/28/2015,,,,
118,04/29/2015,14.5,24.1,14.8,0.0
119,04/30/2015,10.1,28.1,24.1,0.0
120,05/01/2015,16.1,28.6,13.0,0.0
121,05/02/2015,19.9,28.6,27.7,0.0
122,05/03/2015,12.1,28.3,18.4,0.0
123,05/04/2015,9.1,29.5,16.6,0.0
124,05/05/2015,12.1,31.7,24.1,0.0
125,05/06/2015,17.0,29.2,18.4,0.0
126,05/07/2015,14.1,32.4,27.7,0.0
127,05/08/2015,14.1,32.0,18.4,0.0
128,05/09/2015,15.1,32.7,20.5,0.0
129,05/10/2015,16.1,32.0,27.7,0.0
130,05/11/2015,19.1,32.6,11.2,0.0
131,05/12/2015,16.1,29.0,7.6,0.0
132,05/13/2015,15.1,28.7,14.8,0.0
133,05/14/2015,14.1,30.4,13.0,0.0
134,05/15/2015,15.1,30.0,14.6,0.0
135,05/16/2015,17.0,30.3,18.4,0.0
136,05/17/2015,15.1,32.0,18.4,0.0
137,05/18/2015,15.1,32.5,14.8,0.0
138,05/19/2015,18.1,32.0,22.3,0.0
139,05/20/2015,14.1,30.6,16.8,0.0
140,05/21/2015,17.0,31.1,18.4,0.0
141,05/22/2015,17.0,30.6,18.4,0.0
142,05/23/2015,16.1,31.0,13.0,0.0
143,05/24/2015,18.1,29.2,14.8,0.0
144,05/25/2015,16.1,30.1,18.4,0.0
145,05/26/2015,17.0,31.1,18.4,0.0
146,05/27/2015,17.0,31.4,18.4,0.0
147,05/28/2015,18.1,29.7,13.2,0.0
148,05/29/2015,17.0,29.0,14.8,0.0
149,05/30/2015,15.1,24.8,18.4,0.0
150,05/31/2015,15.1,27.7,20.5,0.0
151,06/01/2015,16.1,25.1,16.6,0.0
152,06/02/2015,18.1,29.1,14.8,0.0
153,06/03/2015,18.1,29.2,16.6,0.0
154,06/04/2015,14.3,31.2,9.2,0.0
155,06/05/2015,18.1,29.0,8.6,0.0
156,06/06/2015,19.1,28.3,18.4,0.0
157,06/07/2015,15.1,29.0,22.3,0.0
158,06/08/2015,19.1,28.7,11.2,0.0
159,06/09/2015,18.1,30.3,13.0,0.0
160,06/10/2015,19.1,30.6,16.6,0.0
161,06/11/2015,19.1,32.1,11.0,0.0
162,06/12/2015,20.2,29.4,14.8,0.0
163,06/13/2015,21.1,24.9,4.0,0.0
164,06/14/2015,20.4,30.2,7.2,0.0
165,06/15/2015,18.1,27.9,14.8,0.0
166,06/16/2015,17.0,26.1,16.6,0.0
167,06/17/2015,18.1,25.9,22.3,0.0
168,06/18/2015,17.0,28.7,9.4,0.0
169,06/19/2015,16.1,25.1,13.0,6.0
170,06/20/2015,17.0,23.1,11.2,11.0
171,06/21/2015,17.0,27.1,11.2,0.0
172,06/22/2015,16.1,30.1,9.4,0.0
173,06/23/2015,17.0,27.0,14.8,0.0
174,06/24/2015,16.1,25.1,20.5,0.0
175,06/25/2015,17.2,26.7,14.8,0.0
176,06/26/2015,17.0,28.1,9.4,0.0
177,06/27/2015,16.1,27.1,18.4,0.2
178,06/28/2015,17.0,26.8,18.4,0.0
179,06/29/2015,17.0,25.2,11.2,0.6
180,06/30/2015,17.0,27.2,11.2,0.0
