TOTAL,MES,DIA,DIA2,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,P
57,4,14,5,21.6,37.62,3.4,90,93.4043903,100
73,4,15,6,26.3,28.88,11.2,144,88.02791085,100
63,4,16,7,28.6,22.92,7.2,120,81.28518054,100
72,4,17,1,24.1,13.14,11.2,340,73.35079351,100
56,4,18,2,25.6,15.18,22.3,230,64.43241817,100
71,4,19,3,25.6,38.16,7.2,80,54.78070185,100
65,4,20,4,19.6,51.03,3.6,90,44.70100627,100
62,4,21,5,23.8,36.73,14.8,222.5,34.56500771,100
59,4,22,6,22.85,51.98,8.09,180,24.81778303,100
69,4,23,7,27.1,25,11.2,106.67,15.9735244,100
53,4,24,1,25.8,43.61,7.6,157.5,8.592110368,100
72,4,25,2,23.9,41.02,11.3,214.33,3.231294504,100
61,4,26,3,22.8,33.28,7.2,205,0.376255827,100
66,4,27,4,19,38.77,3.6,100,0.358365175,100
71,4,28,5,24.4,24.16,10.8,230,3.284012215,100
53,4,29,6,21.6,40.01,7.2,90,8.996594261,100
59,4,30,7,27,21.84,18.4,194,17.08696141,100
67,5,1,1,25.6,29.7,33.5,350,26.95194516,100
76,5,2,2,31.8,22.24,7.2,160,37.88440232,100
54,5,3,3,26,29.72,13,232,49.16940425,100
82,5,4,4,24.9,37.42,13,165,60.16315423,100
67,5,5,5,27.3,36.1,7.2,205.33,70.34118958,100
61,5,6,6,28.3,42.54,7.6,94.33,79.31438873,100
72,5,7,7,26.2,36.83,10.8,203.33,86.82007448,100
68,5,8,1,26.5,36.11,10.8,120,92.69905484,100
77,5,9,2,27.9,33.63,18.4,115,96.86860607,100
51,5,10,3,27.9,44.28,7.2,176.67,99.29827026,100
51,5,11,4,29.2,33.92,11.3,208,99.99184617,100
75,5,12,5,28.7,34.98,10.8,216.67,98.97625162,100
72,5,13,6,22.85,51.98,8.09,200,96.29643068,100
61,5,14,7,28.9,27.91,8.6,198,92.01508354,100
75,5,15,1,26.8,40.56,8.3,257.67,86.21637677,100
71,5,16,2,28.9,26.95,7.6,225,79.01349,100
50,5,17,3,29.8,32.74,10.8,66.67,70.56035354,100
64,5,18,4,27.2,25.21,10.8,187.25,61.06770241,100
66,5,19,5,29.7,25.57,10.8,233.33,50.82220486,100
66,5,20,6,26.1,38.03,7.2,90,40.20482959,100
70,5,21,7,30.2,27.2,7.2,200,29.70133956,100
71,5,22,1,28.6,31.22,7.2,203.33,19.89525832,100
70,5,23,2,29.2,27.36,24.1,258,11.43402665,100
75,5,24,3,25.6,50.42,7.2,135,4.964394797,100
81,5,25,4,28.1,44.76,7.2,145.67,1.043570461,100
65,5,26,5,29.5,37.08,7.2,126.67,0.045010999,100
65,5,27,6,28.4,50.82,7.2,90,2.085648659,100
64,5,28,7,28.9,32.97,18.4,280,6.998724071,100
69,5,29,1,28.1,36.51,7.2,186.67,14.36234069,100
60,5,30,2,27.8,48.69,7.2,93.33,23.57451986,100
75,5,31,3,26.3,50.13,5.4,120,33.95071503,100
69,6,1,4,27.2,41.13,7.2,110,44.816222,100
