Epoca: ,1-ene.-10,2010.0,,2455196.50,,,,e,ε_g,ϖ_g,L_o Luna,P_o Luna,N_o Luna,Año trópico,,,,,,,,Luna Nueva,Luna Llena,Mes Sinódico,,,
,,,,,,,,0.016705,279.557208,283.11,91.929336,130.143076,291.682547,365.242191,,,,,,,,0.28%,99.80%,29.5306,,,
Epoca 2014.0,1-ene.-00,,,2451544.50,,,,,,,,,,,,-0.1394717093,,,,,,,,,,,
2415018.500,,,T=,1.00,,,,,,,,,,,,,,,,,,,,,,,
Fecha,Dia Juliano,D (dias),,,,,M ʘ,Long. Ecl. ʘ,L,Mm,N,E_v,A_e,A_3,Mm´,E_c,A_4,L´,V,L´´ ,D ( º ),Fase,,,Dia Exacto de Fase,,
1-1-17 0:00,2457754.50,2558.00,1,Domingo,Enero,1,"2,517.73",2800.7673,33797.1518,33382.0371,156.2265,0.2052,-0.0074,-0.0147,33382.2642,-6.2314,0.0571,33791.1901,0.33334726,33791.5234,30990.7561,7.03%,,30.7561,2.52,,1
2-1-17 0:00,2457755.50,2559.00,2,Lunes,Enero,2,"2,518.72",2801.7859,33810.3282,33395.1021,156.1735,-0.0441,-0.0042,-0.0083,33395.0704,-6.2640,-0.0377,33803.9867,0.4422000137,33804.4289,31002.6429,13.22%,,42.6429,3.50,,2
3-1-17 0:00,2457756.50,2560.00,3,Martes,Enero,3,"2,519.70",2802.8045,33823.5046,33408.1671,156.1206,-0.2916,-0.0010,-0.0019,33407.8783,-5.9849,-0.1250,33817.1040,0.5345913801,33817.6386,31014.8341,21.20%,,54.8341,4.50,,3
4-1-17 0:00,2457757.50,2561.00,4,Miércoles,Enero,4,"2,520.69",2803.8231,33836.6810,33421.2321,156.0676,-0.5280,0.0022,0.0044,33420.6974,-5.4074,-0.1879,33830.5556,0.6047608351,33831.1603,31027.3373,30.73%,,67.3373,5.52,,4
5-1-17 0:00,2457758.50,2562.00,5,Jueves,Enero,5,"2,521.67",2804.8416,33849.8574,33434.2970,156.0147,-0.7440,0.0054,0.0108,33433.5368,-4.5588,-0.2137,33844.3355,0.6472638116,33844.9827,31040.1411,41.44%,,80.1411,6.57,C. Creciente,5
6-1-17 0:00,2457759.50,2563.00,6,Viernes,Enero,6,"2,522.66",2805.8602,33863.0338,33447.3620,155.9617,-0.9314,0.0086,0.0172,33446.4048,-3.4796,-0.1973,33858.4169,0.6576447136,33859.0745,31053.2143,52.80%,,93.2143,7.65,,6
7-1-17 0:00,2457760.50,2564.00,7,Sábado,Enero,7,"2,523.64",2806.8787,33876.2102,33460.4270,155.9087,-1.0831,0.0118,0.0235,33459.3086,-2.2220,-0.1415,33872.7519,0.6331987711,33873.3851,31066.5063,64.21%,,106.5063,8.74,,7
8-1-17 0:00,2457761.50,2565.00,1,Domingo,Enero,8,"2,524.63",2807.8972,33889.3866,33473.4920,155.8558,-1.1931,0.0150,0.0299,33472.2540,-0.8476,-0.0572,33887.2737,0.5736523111,33887.8474,31079.9502,74.96%,,119.9502,9.84,,8
9-1-17 0:00,2457762.50,2566.00,2,Lunes,Enero,9,"2,525.62",2808.9157,33902.5630,33486.5570,155.8028,-1.2573,0.0182,0.0362,33485.2453,0.5749,0.0390,33901.9014,0.4815617167,33902.3830,31093.4673,84.40%,,133.4673,10.95,,9
10-1-17 0:00,2457763.50,2567.00,3,Martes,Enero,10,"2,526.60",2809.9340,33915.7394,33499.6220,155.7499,-1.2731,0.0214,0.0425,33498.2850,1.9730,0.1275,33916.5454,0.3622722752,33916.9077,31106.9737,91.92%,,146.9737,12.06,,10
11-1-17 0:00,2457764.50,2568.00,4,Miércoles,Enero,11,"2,527.59",2810.9524,33928.9158,33512.6870,155.6969,-1.2400,0.0245,0.0489,33511.3736,3.2739,0.1902,33931.1154,0.2233904925,33931.3388,31120.3864,97.10%,,160.3864,13.16,,11
12-1-17 0:00,2457765.50,2569.00,5,Jueves,Enero,12,"2,528.57",2811.9706,33942.0922,33525.7520,155.6440,-1.1593,0.0277,0.0552,33524.5099,4.4085,0.2140,33945.5277,0.07386997535,33945.6016,31133.6310,99.69%,,173.6310,14.24,Luna Llena,12
13-1-17 0:00,2457766.50,2570.00,6,Viernes,Enero,13,"2,529.56",2812.9888,33955.2686,33538.8170,155.5910,-1.0340,0.0309,0.0614,33537.6907,5.3150,0.1933,33959.7121,-0.07707039464,33959.6350,31146.6462,99.66%,,186.6462,15.31,,13
14-1-17 0:00,2457767.50,2571.00,7,Sábado,Enero,14,"2,530.54",2814.0069,33968.4450,33551.8820,155.5381,-0.8689,0.0340,0.0677,33550.9114,5.9428,0.1323,33973.6172,-0.2209396362,33973.3963,31159.3894,97.16%,,199.3894,16.36,,14
15-1-17 0:00,2457768.50,2572.00,1,Domingo,Enero,15,"2,531.53",2815.0248,33981.6214,33564.9470,155.4851,-0.6704,0.0371,0.0740,33564.1655,6.2560,0.0433,33987.2131,-0.3506788872,33986.8625,31171.8376,92.48%,,211.8376,17.38,,15
16-1-17 0:00,2457769.50,2573.00,2,Lunes,Enero,16,"2,532.52",2816.0427,33994.7978,33578.0120,155.4322,-0.4462,0.0403,0.0802,33577.4454,6.2356,-0.0550,34000.4919,-0.4609926402,34000.0310,31183.9883,85.97%,,223.9883,18.37,,16
