,Date time,Minimum Temperature,Maximum Temperature,Wind Speed,Precipitation
0,01/01/2017,12.7,22.2,3.6,0.0
1,01/02/2017,19.1,25.3,7.6,0.0
2,01/03/2017,11.1,26.7,7.2,0.0
3,01/04/2017,10.1,26.1,7.2,0.0
4,01/05/2017,10.1,24.1,3.6,0.0
5,01/06/2017,10.1,23.7,7.2,0.0
6,01/07/2017,17.1,17.1,0.0,0.0
7,01/08/2017,11.2,17.4,3.6,0.0
8,01/09/2017,10.1,23.7,16.6,0.0
9,01/10/2017,7.1,23.9,7.2,0.0
10,01/11/2017,6.9,25.7,7.2,0.0
11,01/12/2017,8.6,25.7,7.2,0.0
12,01/13/2017,11.0,25.7,9.4,0.0
13,01/14/2017,10.1,23.1,7.2,0.0
14,01/15/2017,21.9,24.1,7.2,0.0
15,01/16/2017,9.1,24.9,7.2,0.0
16,01/17/2017,8.0,24.7,7.6,0.0
17,01/18/2017,11.6,20.1,3.6,0.0
18,01/19/2017,13.9,23.4,10.8,0.0
19,01/20/2017,19.1,23.1,14.8,0.0
20,01/21/2017,8.9,24.2,10.8,0.0
21,01/22/2017,7.1,21.1,3.6,0.0
22,01/23/2017,7.1,27.4,7.2,0.0
23,01/24/2017,23.7,26.2,10.8,0.0
24,01/25/2017,6.1,24.9,10.8,0.0
25,01/26/2017,19.9,25.7,7.2,0.0
26,01/27/2017,22.4,27.2,7.2,0.0
27,01/28/2017,9.4,25.9,7.2,0.0
28,01/29/2017,10.9,22.1,7.2,0.0
29,01/30/2017,9.6,23.9,3.6,0.0
30,01/31/2017,21.7,21.7,7.2,0.0
31,02/01/2017,11.1,23.4,7.2,0.0
32,02/02/2017,11.0,11.0,3.4,0.0
33,02/03/2017,11.1,25.9,11.2,0.0
34,02/04/2017,11.1,21.1,7.2,0.0
35,02/05/2017,13.7,27.1,11.2,0.0
36,02/06/2017,11.1,26.3,7.9,0.0
37,02/07/2017,11.1,27.1,22.3,0.0
38,02/08/2017,10.4,28.9,3.6,0.0
39,02/09/2017,12.6,29.9,7.2,0.0
40,02/10/2017,27.4,27.4,7.2,0.0
41,02/11/2017,,,,
42,02/12/2017,14.3,28.6,7.6,0.0
43,02/13/2017,12.1,28.4,14.8,0.0
44,02/14/2017,12.1,25.1,18.4,0.0
45,02/15/2017,9.9,24.2,14.8,0.0
46,02/16/2017,10.4,23.7,18.0,0.0
47,02/17/2017,12.6,23.2,10.8,0.0
48,02/18/2017,,,,
49,02/19/2017,13.4,22.4,22.3,0.0
50,02/20/2017,11.6,23.9,7.2,0.0
51,02/21/2017,14.4,26.9,16.6,0.0
52,02/22/2017,12.6,12.6,3.6,0.0
53,02/23/2017,14.6,27.4,7.2,0.0
54,02/24/2017,12.6,28.1,7.2,0.0
55,02/25/2017,12.1,28.1,7.6,0.0
56,02/26/2017,10.1,24.6,3.6,0.0
57,02/27/2017,13.4,29.4,14.8,0.0
58,02/28/2017,11.1,29.2,11.2,0.0
59,03/01/2017,14.6,28.1,9.4,0.0
60,03/02/2017,15.6,28.9,7.2,0.0
61,03/03/2017,17.1,23.6,9.4,0.0
62,03/04/2017,15.6,23.1,7.2,0.0
63,03/05/2017,17.6,26.9,13.0,0.0
64,03/06/2017,17.1,25.1,3.6,0.0
65,03/07/2017,14.6,28.4,7.2,0.0
66,03/08/2017,17.6,25.1,20.5,0.0
67,03/09/2017,16.6,27.9,7.2,0.0
68,03/10/2017,17.1,28.4,9.4,0.0
69,03/11/2017,15.6,22.1,14.8,0.0
70,03/12/2017,22.4,24.6,3.6,0.0
71,03/13/2017,12.6,25.2,7.2,0.0
72,03/14/2017,14.1,27.4,7.2,0.0
73,03/15/2017,14.9,25.1,7.2,0.0
74,03/16/2017,11.1,24.1,7.2,0.0
75,03/17/2017,16.1,25.5,7.2,0.0
76,03/18/2017,12.1,30.0,7.6,0.0
77,03/19/2017,18.1,28.1,3.6,0.0
78,03/20/2017,,,,
79,03/21/2017,32.2,32.2,3.6,0.0
80,03/22/2017,18.6,30.3,7.6,0.0
81,03/23/2017,19.1,30.9,7.2,0.0
82,03/24/2017,16.1,30.3,10.8,0.0
83,03/25/2017,18.1,31.1,7.2,0.0
84,03/26/2017,18.6,30.9,10.8,0.0
85,03/27/2017,16.1,30.2,7.6,0.0
86,03/28/2017,17.1,30.9,7.2,0.0
87,03/29/2017,16.1,28.9,11.9,0.0
88,03/30/2017,14.6,29.9,7.6,0.0
89,03/31/2017,16.1,26.5,7.9,0.0
90,04/01/2017,10.1,30.9,8.9,0.0
91,04/02/2017,17.6,29.7,10.9,0.0
92,04/03/2017,14.6,20.1,3.6,0.0
93,04/04/2017,27.2,31.2,24.1,0.0
94,04/05/2017,17.6,31.6,7.2,0.0
95,04/06/2017,20.1,27.9,3.6,0.0
96,04/07/2017,15.1,31.6,10.8,0.0
97,04/08/2017,,,,
98,04/09/2017,21.7,31.9,10.8,0.0
99,04/10/2017,14.1,21.1,5.4,0.0
100,04/11/2017,20.5,32.1,37.1,0.0
101,04/12/2017,20.1,20.1,3.6,0.0
