Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","01/01/2019",16.6,21.1,18.8,6.2,44.83,,13,,360,,0,0,,11.7,95,1017.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/02/2019",9.7,22.9,16.6,9.7,67.82,,3.6,,185,,0,0,,12,76.7,1015.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/03/2019",11.7,24.1,19,8.1,54.55,,7.2,,266.67,,0,0,,12,60,1015.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/04/2019",12.1,24.9,19.1,8.9,56.34,,3.6,,120,,0,0,,12,20,1016.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/05/2019",11.9,25.9,19.9,9.9,57.44,,3.6,,125,,0,0,,12,63.3,1017.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/06/2019",12.1,23,17.5,10,67.76,,6.7,,295,,0,0,,12.1,21.3,1019.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/07/2019",11.1,26.7,19.7,9.2,56.76,,3.6,,210,,0,0,,12,76.7,1017.4,"Sky Coverage Increasing",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/08/2019",23.4,27.1,25.2,1.4,22.27,26,3.6,,150,,0,0,,14.1,0,1018.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/09/2019",8.2,18.7,13.4,1.7,50.2,,7.2,,75,,0,0,,12,0,1024.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/10/2019",10.9,23.6,19.2,6.5,48.74,,16.6,,265,,0,0,,12.3,20,1019.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/11/2019",14.9,23.2,19.6,13.1,68.28,,7.2,,260,,0,0,,12,36.7,1014.7,"Light Drizzle",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/12/2019",12.4,23.7,18.5,11.9,68.83,,3.6,,256.67,,0,0,,12,33.3,1017.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/13/2019",21.6,25.2,23.4,11.1,46.46,,3.6,,110,,0,0,,12,20,1015.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/14/2019",12.2,24.2,18.6,10.9,65.34,,7.2,,116.67,,0,0,,12,40,1019,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/15/2019",14.4,21.4,17.6,13.4,78.25,,3.6,,203.33,,0.7,10,,12,83.3,1018.6,"Mist, Sky Coverage Decreasing",20.72163,-103.39335,"Zapopan, JAL, México","","","Rain, Overcast"
"zapopan","01/16/2019",13.2,23.7,19.2,11.9,66.5,,3.6,,205,,0,0,,12,90,1018.3,"Mist, Sky Coverage Increasing",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/17/2019",14.1,19.7,16.9,12.1,75.4,,3.6,,140,,0,0,,12,95,1019,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/18/2019",12.9,21.7,18.6,11.7,66.92,,3.6,,100,,0,0,,12,60,1016.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/19/2019",11.7,26.1,21.1,4.9,44.01,,7.6,,243.33,,0,0,,13,35,1016.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/20/2019",12.9,23.1,18,6,46.1,,7.2,,95,,0,0,,12,40,1018,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/21/2019",9.6,25.6,20.5,4.4,42.76,,9.4,,197.5,,0,0,,13,0,1018.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/22/2019",12.1,25.1,20.2,9.4,55.31,,10.8,,235,,0,0,,12,0,1015.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/23/2019",13.7,26.1,21.6,7,47.51,,10.8,,306.67,,0,0,,13,17.5,1014.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/24/2019",10.7,25.1,19,5.9,50.01,,7.2,,170,,0,0,,12,3.3,1015.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/25/2019",12.6,25.7,19.6,7.8,50.71,,7.2,,130,,0,0,,12,56.7,1015.9,"Sky Coverage Increasing",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/26/2019",14.4,24.2,20.6,5.9,43.19,,10.8,,290,,0,0,,12,13.3,1013.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/27/2019",10.6,23.2,17.4,-1.8,29.15,,7.2,,56.67,,0,0,,12,0,1019.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/28/2019",7.1,23.9,16.7,-0.1,39.31,,7.2,,185,,0,0,,12,0,1017.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/29/2019",9.2,24.4,17.9,2.9,44.68,,3.6,,330,,0,0,,12,0,1015,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/30/2019",8.9,25.1,20,-3.1,33.06,,22.3,,253.33,,0,0,,13,22.5,1014.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/31/2019",11.6,23.2,17.8,5.9,51.66,,3.6,,160,,0,0,,12,43.3,1017.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/01/2019",10.4,25.1,18.6,6.4,53.77,,10.8,,185,,0,0,,12,3.3,1017,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/02/2019",13.6,26.1,21.9,1.8,33.96,,14.8,,137.5,,0,0,,13,17.5,1016.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/03/2019",21.7,26.4,24,3.6,27.25,,7.2,,185,,0,0,,12,50,1013.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/04/2019",12,27.1,22.1,2.2,34.3,25.9,3.6,,170,,0,0,,13.9,0,1014.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/05/2019",13.7,28.6,21.6,6.1,43.03,27.1,3.6,,143.33,,0,0,,12,50,1014.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/06/2019",13.1,29.4,24,6.3,40.02,27.9,20.5,,156.67,,0,0,,13,5,1013.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/07/2019",12.7,27.9,21,7.2,46.62,26.7,3.6,,80,,0,0,,12,0,1015,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/08/2019",14.1,27.6,21.2,8.5,47.36,26.9,7.2,,135,,0,0,,11.8,60,1015.2,"Sky Coverage Increasing",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/09/2019",15.2,25.6,21.1,9.7,50.71,,3.6,,86.67,,0,0,,12,3.3,1016.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/10/2019",22.6,26.2,24.4,10.5,41.91,,7.2,,240,,0,0,,12,25,1014,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/11/2019",16.2,26.1,22.8,7.4,39.8,,18.4,,253.33,,0,0,,11.8,20,1012.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/12/2019",14.4,26.2,20.9,8.9,50.56,,3.6,,156.67,,0,0,,12,60,1013.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/13/2019",14.9,26.6,21.2,9.2,48.71,,7.2,,143.33,,0,0,,12,13.3,1015.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/14/2019",9.1,28.1,20.6,7.2,50.3,26.7,24.1,,266.67,,0,0,,13,0,1013.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/15/2019",15.1,29.4,22.9,10.7,50.39,28.2,3.6,,155,,0,0,,12,0,1013.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/16/2019",16.4,31.7,24.4,10.8,46.6,30.2,7.2,,145,,0,0,,12,0,1010.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/17/2019",15.1,28.1,22.9,8.4,46.08,26.9,10.8,,286.67,,0,0,,12,0,1011.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/18/2019",15.7,30,23.6,7.4,43.42,28.2,7.2,,195,,0,0,,12,0,1012.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/19/2019",14.9,27.7,22.1,6.7,42.14,26.6,10.8,,176.67,,0,0,,12.2,7.5,1011.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
