Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","01/01/2015",9.1,24.1,18.1,9.1,59.54,,5.4,,20,,0,0,,14,96.7,,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/02/2015",17.1,23.6,20.9,8.2,45.21,,9.4,,180,,0,0,,13.7,46.7,1012.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/03/2015",10.7,23.4,18.2,9.6,59.95,,10.8,,130,,0,0,,12.2,60,1016.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/04/2015",16.1,21.6,18.9,9.9,56.26,,7.6,,50,,0,0,,12.1,93.3,1017.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/05/2015",15.1,16.2,15.6,5.8,52.61,,14.8,,60,,0,0,,14.1,90,1022.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/06/2015",13.2,23.1,19.2,7.2,47.44,,14.8,,140,,0,0,,14.1,77.5,1021.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/07/2015",21.7,24.2,22.9,10.4,45.2,,7.8,,95,,0,0,,12.3,45.3,1018,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/08/2015",17.6,21.4,19.5,7.7,46.86,,7.2,,65,,0,0,,12,75,1018.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/09/2015",19.9,19.9,19.9,15.2,74.33,,3.6,,90,,0,0,,12,0,1020.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/10/2015",9.7,24.1,17.7,6.5,54.65,,7.6,,60,,0,0,,13.4,43.3,1020.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/11/2015",10.1,21.1,15.6,5.6,57.19,,7.6,,280,,0,0,,14.5,0,1018.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/12/2015",9.9,20.3,15.1,7,61.04,,3.4,,50,,0,0,,12.3,47.3,1022.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/13/2015",7.7,23.1,18,3.9,45.89,,16.6,,205,,0,0,,13.3,90,1021.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/14/2015",10.5,25.6,21,6.1,43.82,,9.4,,217.5,,0,0,,11.7,53.9,1017.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/15/2015",9.2,24.9,18.7,6.5,50.33,,14.8,,165,,0,0,,11.8,67.5,1018.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/16/2015",10.9,21.7,16.3,7.3,59.07,,3.6,,215,,0,0,,12,45,1022.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/17/2015",7.1,22.1,13.6,7.2,69.82,,4.4,,310.5,,0,0,,12.4,60.8,1022.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/18/2015",11.7,21.9,16.8,8.1,61.07,,3.6,,170,,0,0,,12,0,1022.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/19/2015",12.7,26.1,20.6,7.2,49.75,,24.1,,220,,0,0,,13.4,43.3,1018.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/20/2015",11.4,27.1,20.1,5.3,44.77,26,3.6,,195,,0,0,,13.4,0,1018.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/21/2015",14.7,26.4,21.7,9.7,49.6,,7.6,,247.5,,0,0,,12.2,10,1013.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/22/2015",12.4,23.6,19.2,9.9,56.91,,10.8,,216.67,,0,0,,12,60,1016.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/23/2015",7.1,20.4,13.1,8.8,77.48,,3.6,,95,,0,0,,13.4,43.3,1018.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/24/2015",12.1,21.6,16.8,7.5,59.54,,3.6,,120,,0,0,,12,55,1017.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/25/2015",13.4,21.1,18.3,10.9,65.06,,7.2,,70,,0,0,,12.3,93.3,1017.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/26/2015",14.9,22.1,17.6,11.1,69.69,,14.8,,203.33,,0,0,,11.2,96.7,1019.4,"Light Drizzle",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/27/2015",15.1,24.3,19.7,10.8,58.43,,7.2,,59,,0,0,,12,15,1020.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/28/2015",23.4,26.5,24.9,5.9,29.71,,3.7,,109.5,,0,0,,12,75,1015.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/29/2015",12.4,28.6,23,4.3,35.62,27.2,9.4,,195,,0,0,,13,57.5,1016.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/30/2015",15.2,19.6,17.4,3.7,41.58,,7.3,,124.5,,0,0,,12.1,60.9,1018.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/31/2015",20.1,20.1,20.1,7.1,42.9,,7.6,,230,,0,0,,19.3,90,1012.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","02/01/2015",11.1,17.2,13.5,10.1,81.09,,3.6,,265,,0.4,10,,13.4,96.7,1015.4,"Light Drizzle",20.72163,-103.39335,"Zapopan, JAL, México","","","Rain, Overcast"
"zapopan","02/02/2015",12.9,17.4,15.8,12.2,80.21,,3.6,,90,,0,0,,12.2,96.5,1013.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","02/03/2015",13.6,22.1,18.2,11.3,66.98,,7.2,,124.33,,0,0,,12,71,1014.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","02/04/2015",8.3,23.1,18.2,6.1,50.4,,3.6,,236.67,,0,0,,13.1,10,1018.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","02/05/2015",5.1,23.6,15.2,4.1,52.35,,11.2,,86.67,,0,0,,13.2,78,1017.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","02/06/2015",10.9,21.1,16.2,6.2,53.94,,3.6,,80,,0,0,,12,70,1022,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
