Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","01/01/2020",17,22,19.9,8.2,47.18,,31.7,50,122,,0,0,,13.7,51.3,1007.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/02/2020",11,21,16.5,5.6,57.45,,37.1,,261,,0,0,,11.6,51.3,1010.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/03/2020",1,23,15.8,-0.4,44.41,,18.4,,162,,0,0,,14,20,1016.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/04/2020",4,22,15.5,-6.6,27.6,,27.7,,45,,0,0,,16.1,55,1021.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/05/2020",1,24,16,-8.5,23.18,,13,,127,,0,0,,14.7,17.5,1022.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/06/2020",1,27,17.2,-3.6,32,25.8,14.8,,152,,0,0,,10.8,27.5,1019.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/07/2020",7,25,18.9,-2.6,31.13,,20.5,,76,,0,0,,15.8,60,1017.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/08/2020",5,23,17.7,0.1,32.62,,11.2,,153,3.9,0,0,,11.6,58.8,1017.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/09/2020",6,25,19.2,5.4,45.46,,16.6,,167,,0,0,,8.4,25,1015.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/10/2020",6,26,20.2,1.6,37.55,,22.3,,165,,0,0,,15.8,20,1014,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/11/2020",9,26,19.7,1.7,37.87,,14.8,,102,,0,0,,11.6,56.3,1013.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/12/2020",6,26,19.1,1.6,35.73,,18.4,,77,,0,0,,12.1,73.8,1014.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/13/2020",6,26,20.1,1.6,36.15,,9.4,,54,,0,0,,11,13.8,1017.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/14/2020",6,27,20.8,3.7,36.57,26.1,13,,63,,0,0,,8.1,85,1014.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/15/2020",10,27,21.4,5.5,38.64,26.2,9.4,,29,,0,0,,6.6,95,1012.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/16/2020",9,27,21,7.1,44.57,26.2,13,,74,,0,0,,7.7,30,1013.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/17/2020",12,25,21.1,7.7,44.39,,13,,115,,0,0,,11.1,63.8,1012.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/18/2020",9,26,20.9,7.6,46.17,,9.4,,138,,0,0,,13.4,52.5,1014.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/19/2020",12,25,20.6,8.4,47.71,,14.8,,43,,0,0,,12.9,50,1014.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/20/2020",12,26,20.3,8.4,49.38,,16.6,,76,,0,0,,16.1,27.5,1016.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/21/2020",9,26,20.1,6,43.29,,14.8,,115,,0,0,,12.3,17.5,1014.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/22/2020",13,25,21.5,5.1,39.49,,24.1,40.7,195,,0,0,,19.9,27.5,1011.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/23/2020",13,21,17.4,8.2,56.44,,9.4,,62,,0,0,,11.6,73.8,1011.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/24/2020",7,24,19.3,6.6,47.14,,11.2,,74,,0,0,,11.5,47.5,1013.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/25/2020",14,23,19.7,8.2,49.55,,14.8,,132,,0,0,,16.1,56.3,1011.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/26/2020",14,23,19.7,6.7,45.67,,29.5,40.7,100,,0,0,,15.1,50,1012.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/27/2020",5,24,18.1,4.2,47.53,,11.2,,105,,0,0,,14.7,2.5,1014.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/28/2020",6,25,17.7,4,50.79,,16.6,,81,,0,0,,8.9,30,1012.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/29/2020",6,26,19.9,-1.9,29.16,,25.9,46.4,98,,0,0,,12.4,18.8,1010.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/30/2020",12,19,16.7,6,50.49,,22.3,33.5,229,,0,0,,13.2,48.8,1011.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
