Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","01/01/2016",10.1,27.1,21.3,13.7,64.13,27.6,9.4,,145,,0,0,,10.1,42.9,1014.3,"Smoke Or Haze",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/02/2016",17,25.1,22.1,14.6,63.42,,22.3,,176.14,,0,0,,10.1,77.6,1013.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/03/2016",14.1,24.1,21.8,7.8,43.44,,16.6,,316.67,,0,0,,11.4,16.3,1018.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/04/2016",11.1,24.1,19.1,4.3,41.6,,22.3,,282.2,,0,0,,11.9,72.2,1016.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/05/2016",9.2,23.1,19.2,7,49.74,,24.1,,140,8.7,0,0,,13.9,0,1021.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/06/2016",5.1,21.7,16.4,6.8,56.27,,22.3,,197.83,,0,0,,12,22.7,1015.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/07/2016",6.1,21.3,16.7,5.2,50.87,,29.5,,183.5,,0,0,,11.5,36.8,1017.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/08/2016",4.1,22.1,16.8,4.3,48.33,,27.7,,198.33,,0,0,,11.5,0,1017.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/09/2016",1.1,21.7,13.6,2.8,58.61,,20.5,,186,4,0,0,,11.9,62.9,1013.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/10/2016",13.1,24.1,21.3,-5.1,21.3,,28.3,,244,,0,0,,13.1,12.5,1010.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/11/2016",0.1,24.1,16.7,3.6,46.88,,25.9,,190.5,,0,0,,12,0,1018.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/12/2016",3.1,24.1,16.2,5.4,54.94,,22.3,,146.75,,0,0,,11.5,41.2,1018.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/13/2016",9.1,22.1,16,10.6,72.37,,24.1,,131.13,8,0,0,,11.1,85.1,1017.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/14/2016",9.1,22.7,16.9,6.7,57.42,,27.7,,198.89,8,0,0,,10.8,3,1016.6,"Smoke Or Haze",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/15/2016",5.9,22.1,15.2,5,56.01,,11.2,,128.6,,0,0,,11.7,21.5,1017.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/16/2016",9.1,24.1,18.1,2.8,40.93,,7.2,,126,,0,0,,11.5,71.7,1016.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/17/2016",1.1,24.9,15.5,-3.6,31.35,,13,,116.83,,0,0,,11.6,0,1015.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/18/2016",7.7,23.1,16.9,3.1,46.04,,5,,218.5,,0,0,,12.5,0,1020,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/19/2016",5.1,23.1,16.4,3.5,48.18,,9.4,,80,,0,0,,12,0,1023.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/20/2016",6.1,24.1,18.4,2.2,39.25,,7.2,,237.8,,0,0,,11.3,13.3,1021,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/21/2016",7.1,25.1,19.9,5.3,45.12,,5,,155.33,,0,0,,11.7,0,1019.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/22/2016",8.4,25.1,19.1,-1,28.85,,13,,89.2,,0,0,,12,0,1021.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/23/2016",19.7,25.3,22.5,2.3,26.48,,4.2,,95.5,,0,0,,11.9,0,1019.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/24/2016",23.9,23.9,23.9,2.1,23.99,,7.2,,250,,0,0,,12,90,1015.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/25/2016",7.1,21.1,14.1,8.2,72.36,,3.6,,200,,0,0,,12,65,1017.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/26/2016",8.9,22.1,17,6.2,52.48,,13,,235,,0,0,,13,52.5,1017.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/27/2016",5.1,19.6,14,3.6,55.84,,18.4,,252,4,0,0,,13.6,44,1015.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/28/2016",7.1,19.9,14.7,0.1,37.97,,25.9,,66.67,5.8,0,0,,11.9,81.7,1021.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/29/2016",5.6,22.4,15,0.2,43,,7.3,,157,,0,0,,12.1,73.5,1020.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
