Epoca: ,1-ene.-10,2010.0,,2455196.50,,,,e,ε_g,ϖ_g,L_o Luna,P_o Luna,N_o Luna,Año trópico,,,,,,,,Luna Nueva,Luna Llena,Mes Sinódico,,,
,,,,,,,,0.016705,279.557208,283.11,91.929336,130.143076,291.682547,365.242191,,,,,,,,0.28%,99.80%,29.5306,,,
Epoca 2014.0,1-ene.-00,,,2451544.50,,,,,,,,,,,,-0.1394717093,,,,,,,,,,,
2415018.500,,,T=,1.00,,,,,,,,,,,,,,,,,,,,,,,
Fecha,Dia Juliano,D (dias),,,,,M ʘ,Long. Ecl. ʘ,L,Mm,N,E_v,A_e,A_3,Mm´,E_c,A_4,L´,V,L´´ ,D ( º ),Fase,,,Dia Exacto de Fase,,
1-1-18 0:00,2458119.50,2923.00,2,Lunes,Enero,1,"2,877.49",3160.5207,38606.5366,38150.7593,136.8983,-0.4090,-0.0081,-0.0162,38150.3747,-1.0515,-0.0706,38605.0137,0.176000362,38605.1897,35444.6690,98.22%,,164.6690,13.51,,1
2-1-18 0:00,2458120.50,2924.00,3,Martes,Enero,2,"2,878.48",3161.5392,38619.7130,38163.8243,136.8453,-0.1658,-0.0049,-0.0098,38163.6733,0.4029,0.0274,38619.9824,0.01788460577,38620.0003,35458.4611,99.98%,Luna Llena,178.4611,14.64,Luna Llena,2
3-1-18 0:00,2458121.50,2925.00,4,Miércoles,Enero,3,"2,879.46",3162.5578,38632.8894,38176.8893,136.7924,0.0838,-0.0017,-0.0035,38176.9784,1.8363,0.1195,38634.9309,-0.1410579002,38634.7898,35472.2320,98.86%,,192.2320,15.77,,3
4-1-18 0:00,2458122.50,2926.00,5,Jueves,Enero,4,"2,880.45",3163.5764,38646.0658,38189.9543,136.7394,0.3302,0.0015,0.0029,38190.2802,3.1709,0.1864,38649.7518,-0.2903902816,38649.4614,35485.8851,94.98%,,205.8851,16.89,,4
5-1-18 0:00,2458123.50,2927.00,6,Viernes,Enero,5,"2,881.43",3164.5949,38659.2422,38203.0193,136.6865,0.5639,0.0047,0.0093,38203.5693,4.3343,0.2137,38664.3495,-0.420982953,38663.9285,35499.3336,88.67%,,219.3336,17.99,,5
6-1-18 0:00,2458124.50,2928.00,7,Sábado,Enero,6,"2,882.42",3165.6135,38672.4186,38216.0843,136.6335,0.7760,0.0078,0.0156,38216.8368,5.2643,0.1960,38678.6470,-0.5259730681,38678.1210,35512.5075,80.43%,,232.5075,19.07,,6
7-1-18 0:00,2458125.50,2929.00,1,Domingo,Enero,7,"2,883.41",3166.6320,38685.5950,38229.1493,136.5806,0.9582,0.0110,0.0220,38230.0744,5.9121,0.1371,38692.5914,-0.6011967627,38691.9902,35525.3581,70.85%,,245.3581,20.13,,7
8-1-18 0:00,2458126.50,2930.00,2,Lunes,Enero,8,"2,884.39",3167.6505,38698.7714,38242.2143,136.5276,1.1035,0.0142,0.0283,38243.2753,6.2453,0.0498,38706.1558,-0.6450964585,38705.5107,35537.8602,60.51%,,257.8602,21.15,,8
9-1-18 0:00,2458127.50,2931.00,3,Martes,Enero,9,"2,885.38",3168.6690,38711.9478,38255.2793,136.4747,1.2065,0.0174,0.0347,38256.4337,6.2490,-0.0477,38719.3382,-0.6582550995,38718.6799,35550.0109,49.99%,,270.0109,22.15,C. Menguante,9
10-1-18 0:00,2458128.50,2932.00,4,Miércoles,Enero,10,"2,886.36",3169.6874,38725.1242,38268.3443,136.4217,1.2631,0.0206,0.0410,38269.5458,5.9262,-0.1349,38732.1579,-0.642768844,38731.5152,35561.8278,39.75%,,281.8278,23.12,,10
11-1-18 0:00,2458129.50,2933.00,5,Jueves,Enero,11,"2,887.35",3170.7057,38738.3006,38281.4093,136.3688,1.2711,0.0238,0.0473,38282.6093,5.2973,-0.1943,38744.6509,-0.6016428567,38744.0493,35573.3435,30.19%,,293.3435,24.06,,11
12-1-18 0:00,2458130.50,2934.00,6,Viernes,Enero,12,"2,888.33",3171.7240,38751.4770,38294.4743,136.3158,1.2303,0.0269,0.0536,38295.6240,4.3980,-0.2139,38756.8644,-0.538320938,38756.3261,35584.6021,21.61%,,304.6021,24.99,,12
13-1-18 0:00,2458131.50,2935.00,7,Sábado,Enero,13,"2,889.32",3172.7422,38764.6534,38307.5392,136.2629,1.1422,0.0301,0.0599,38308.5914,3.2772,-0.1904,38768.8523,-0.456382582,38768.3959,35595.6537,14.24%,,315.6537,25.89,,13
14-1-18 0:00,2458132.50,2936.00,1,Domingo,Enero,14,"2,890.31",3173.7603,38777.8298,38320.6042,136.2099,1.0102,0.0332,0.0662,38321.5150,1.9938,-0.1287,38780.6718,-0.3593878026,38780.3125,35606.5522,8.28%,,326.5522,26.79,,14
15-1-18 0:00,2458133.50,2937.00,2,Lunes,Enero,15,"2,891.29",3174.7783,38791.0062,38333.6692,136.1569,0.8393,0.0364,0.0724,38334.3997,0.6137,-0.0416,38792.3812,-0.2508274886,38792.1304,35617.3521,3.86%,,337.3521,27.67,,15
16-1-18 0:00,2458134.50,2938.00,3,Martes,Enero,16,"2,892.28",3175.7962,38804.1825,38346.7342,136.1040,0.6362,0.0395,0.0787,38347.2523,-0.7939,0.0536,38804.0390,-0.1341382315,38803.9048,35628.1087,1.07%,,348.1087,28.56,Luna Nueva,16
