Epoca: ,1-ene.-10,2010.0,,2455196.50,,,,e,ε_g,ϖ_g,L_o Luna,P_o Luna,N_o Luna,Año trópico,,,,,,,,Luna Nueva,Luna Llena,Mes Sinódico,,,
17-1-18 0:00,2458135.50,2939.00,4,Miércoles,Enero,17,"2,893.26",3176.8139,38817.3589,38359.7992,136.0510,0.4086,0.0426,0.0849,38360.0803,-2.1591,0.1380,38815.7038,-0.01275359692,38815.6911,35638.8772,0.01%,Luna Nueva,358.8772,29.44,Luna Nueva,1
18-1-18 0:00,2458136.50,2940.00,5,Jueves,Enero,18,"2,894.25",3177.8316,38830.5353,38372.8642,135.9981,0.1653,0.0457,0.0911,38372.8927,-3.4151,0.1952,38827.4350,0.109822344,38827.5448,35649.7132,0.72%,,9.7132,0.80,,2
19-1-18 0:00,2458137.50,2941.00,6,Viernes,Enero,19,"2,895.23",3178.8491,38843.7117,38385.9292,135.9451,-0.0843,0.0488,0.0972,38385.6988,-4.5006,0.2139,38839.2919,0.2299261808,38839.5218,35660.6728,3.22%,,20.6728,1.70,,3
20-1-18 0:00,2458138.50,2942.00,7,Sábado,Enero,20,"2,896.22",3179.8664,38856.8881,38398.9942,135.8922,-0.3308,0.0519,0.1033,38398.5082,-5.3624,0.1906,38851.3337,0.3436406612,38851.6774,35671.8110,7.51%,,31.8110,2.61,,4
21-1-18 0:00,2458139.50,2943.00,1,Domingo,Enero,21,"2,897.20",3180.8836,38870.0645,38412.0592,135.8392,-0.5645,0.0550,0.1094,38411.3303,-5.9577,0.1298,38863.6172,0.4467161562,38864.0639,35683.1803,13.54%,,43.1803,3.54,,5
22-1-18 0:00,2458140.50,2944.00,2,Lunes,Enero,22,"2,898.19",3181.9006,38883.2409,38425.1242,135.7863,-0.7765,0.0580,0.1155,38424.1742,-6.2561,0.0432,38876.1935,0.534547065,38876.7281,35694.8275,21.20%,,54.8275,4.50,,6
23-1-18 0:00,2458141.50,2945.00,3,Martes,Enero,23,"2,899.18",3182.9175,38896.4173,38438.1892,135.7333,-0.9587,0.0610,0.1215,38437.0480,-6.2411,-0.0521,38889.1044,0.6022575621,38889.7067,35706.7892,30.29%,,66.7892,5.48,,7
24-1-18 0:00,2458142.50,2946.00,4,Miércoles,Enero,24,"2,900.16",3183.9341,38909.5937,38451.2542,135.6804,-1.1040,0.0640,0.1275,38449.9586,-5.9109,-0.1373,38902.3775,0.644954452,38903.0225,35719.0883,40.54%,,79.0883,6.49,C. Creciente,8
25-1-18 0:00,2458143.50,2947.00,5,Jueves,Enero,25,"2,901.15",3184.9506,38922.7701,38464.3192,135.6274,-1.2068,0.0670,0.1335,38462.9118,-5.2793,-0.1952,38916.0217,0.6581849607,38916.6799,35731.7293,51.51%,,91.7293,7.52,,9
26-1-18 0:00,2458144.50,2948.00,6,Viernes,Enero,26,"2,902.13",3185.9668,38935.9465,38477.3842,135.5744,-1.2632,0.0700,0.1394,38475.9115,-4.3754,-0.2139,38930.0240,0.6385864731,38930.6626,35744.6957,62.68%,,104.6957,8.59,,10
27-1-18 0:00,2458145.50,2949.00,7,Sábado,Enero,27,"2,903.12",3186.9829,38949.1229,38490.4491,135.5215,-1.2711,0.0730,0.1453,38488.9599,-3.2426,-0.1891,38944.3472,0.5846375405,38944.9318,35757.9489,73.43%,,117.9489,9.68,,11
28-1-18 0:00,2458146.50,2950.00,1,Domingo,Enero,28,"2,904.10",3187.9987,38962.2993,38503.5141,135.4685,-1.2300,0.0759,0.1511,38502.0572,-1.9373,-0.1254,38958.9307,0.4973376572,38959.4280,35771.4293,83.08%,,131.4293,10.78,,12
29-1-18 0:00,2458147.50,2951.00,2,Lunes,Enero,29,"2,905.09",3189.0143,38975.4757,38516.5791,135.4156,-1.1416,0.0788,0.1569,38515.2018,-0.5260,-0.0357,38973.6936,0.3805973797,38974.0742,35785.0599,90.99%,,145.0599,11.90,,13
30-1-18 0:00,2458148.50,2952.00,3,Martes,Enero,30,"2,906.08",3190.0296,38988.6521,38529.6441,135.3626,-1.0093,0.0817,0.1626,38528.3905,0.9176,0.0618,38988.5406,0.2411509627,38988.7817,35798.7521,96.60%,,158.7521,13.02,,14
31-1-18 0:00,2458149.50,2953.00,4,Miércoles,Enero,31,"2,907.06",3191.0447,39001.8285,38542.7091,135.3097,-0.8381,0.0845,0.1683,38541.6181,2.3168,0.1466,39003.3693,0.08792370595,39003.4572,35812.4125,99.56%,,172.4125,14.14,Luna Llena,15
1-2-18 0:00,2458150.50,2954.00,5,Jueves,Febrero,1,"2,908.05",3192.0596,39015.0049,38555.7741,135.2567,-0.6347,0.0874,0.1740,38554.8781,3.5960,0.2008,39018.0796,-0.06904023171,39018.0106,35825.9510,99.73%,,185.9510,15.25,,16
2-2-18 0:00,2458151.50,2955.00,6,Viernes,Febrero,2,"2,909.03",3193.0741,39028.1813,38568.8391,135.2038,-0.4068,0.0902,0.1796,38568.1625,4.6853,0.2127,39032.5822,-0.2198325478,39032.3624,35839.2882,97.19%,,199.2882,16.35,,17
3-2-18 0:00,2458152.50,2956.00,7,Sábado,Febrero,3,"2,910.02",3194.0885,39041.3577,38581.9041,135.1508,-0.1633,0.0930,0.1851,38581.4627,5.5246,0.1796,39046.8056,-0.3558062121,39046.4498,35852.3614,92.23%,,212.3614,17.42,,18
4-2-18 0:00,2458153.50,2957.00,1,Domingo,Febrero,4,"2,911.00",3195.1025,39054.5341,38594.9691,135.0979,0.0865,0.0957,0.1906,38594.7693,6.0677,0.1085,39060.7011,-0.4703263612,39060.2308,35865.1283,85.28%,,225.1283,18.47,,19
5-2-18 0:00,2458154.50,2958.00,2,Lunes,Febrero,5,"2,911.99",3196.1162,39067.7105,38608.0341,135.0449,0.3330,0.0984,0.1960,38608.0727,6.2850,0.0144,39074.2445,-0.5590498746,39073.6855,35877.5693,76.81%,,237.5693,19.49,,20
6-2-18 0:00,2458155.50,2959.00,3,Martes,Febrero,6,"2,912.98",3197.1296,39080.8869,38621.0991,134.9920,0.5667,0.1011,0.2014,38621.3633,6.1653,-0.0827,39087.4351,-0.6197913988,39086.8153,35889.6857,67.36%,,249.6857,20.48,,21
7-2-18 0:00,2458156.50,2960.00,4,Miércoles,Febrero,7,"2,913.96",3198.1427,39094.0633,38634.1641,134.9390,0.7786,0.1038,0.2067,38634.6322,5.7164,-0.1622,39100.2923,-0.6521303964,39099.6402,35901.4974,57.39%,,261.4974,21.45,C. Menguante,22
8-2-18 0:00,2458157.50,2961.00,5,Jueves,Febrero,8,"2,914.95",3199.1555,39107.2397,38647.2291,134.8860,0.9605,0.1064,0.2119,38647.8712,4.9642,-0.2074,39112.8505,-0.6569315527,39112.1936,35913.0381,47.35%,,273.0381,22.40,,23
9-2-18 0:00,2458158.50,2962.00,6,Viernes,Febrero,9,"2,915.93",3200.1680,39120.4161,38660.2940,134.8331,1.1055,0.1090,0.2171,38661.0734,3.9513,-0.2092,39125.1546,-0.6359089137,39124.5187,35924.3507,37.61%,,284.3507,23.33,,24
10-2-18 0:00,2458159.50,2963.00,7,Sábado,Febrero,10,"2,916.92",3201.1802,39133.5925,38673.3590,134.7801,1.2078,0.1116,0.2222,38674.2330,2.7337,-0.1676,39137.2549,-0.5912993792,39136.6636,35935.4834,28.49%,,295.4834,24.24,,25
11-2-18 0:00,2458160.50,2964.00,1,Domingo,Febrero,11,"2,917.90",3202.1920,39146.7689,38686.4240,134.7272,1.2637,0.1141,0.2273,38687.3462,1.3776,-0.0915,39149.2045,-0.5256552806,39148.6788,35946.4868,20.27%,,306.4868,25.14,,26
12-2-18 0:00,2458161.50,2965.00,2,Lunes,Febrero,12,"2,918.89",3203.2034,39159.9453,38699.4890,134.6742,1.2708,0.1166,0.2323,38700.4109,-0.0451,0.0031,39161.0574,-0.4417341382,39160.6156,35957.4122,13.19%,,317.4122,26.04,,27
13-2-18 0:00,2458162.50,2966.00,3,Martes,Febrero,13,"2,919.87",3204.2145,39173.1217,38712.5540,134.6213,1.2290,0.1191,0.2372,38713.4267,-1.4602,0.0967,39172.8680,-0.3424563523,39172.5255,35968.3110,7.45%,,328.3110,26.93,,28
14-2-18 0:00,2458163.50,2967.00,4,Miércoles,Febrero,14,"2,920.86",3205.2253,39186.2980,38725.6190,134.5683,1.1398,0.1216,0.2421,38726.3952,-2.7957,0.1704,39184.6911,-0.2309094422,39184.4602,35979.2349,3.25%,,339.2349,27.83,,29
15-2-18 0:00,2458164.50,2968.00,5,Jueves,Febrero,15,"2,921.85",3206.2356,39199.4744,38738.6840,134.5154,1.0067,0.1240,0.2468,38739.3199,-3.9848,0.2098,39196.5822,-0.1103890359,39196.4718,35990.2362,0.72%,,350.2362,28.73,Luna Nueva,30
16-2-18 0:00,2458165.50,2969.00,6,Viernes,Febrero,16,"2,922.83",3207.2456,39212.6508,38751.7490,134.4624,0.8347,0.1263,0.2515,38752.2059,-4.9694,0.2073,39208.5972,0.01552709282,39208.6127,36001.3671,0.01%,Luna Nueva,1.3671,0.11,,1
17-2-18 0:00,2458166.50,2970.00,7,Sábado,Febrero,17,"2,923.82",3208.2552,39225.8272,38764.8140,134.4095,0.6306,0.1286,0.2562,38765.0598,-5.7022,0.1636,39220.7907,0.142879692,39220.9335,36012.6783,1.22%,,12.6783,1.04,,2
18-2-18 0:00,2458167.50,2971.00,1,Domingo,Febrero,18,"2,924.80",3209.2644,39239.0036,38777.8790,134.3565,0.4021,0.1309,0.2607,38777.8894,-6.1486,0.0878,39233.2140,0.2672251017,39233.4812,36024.2168,4.40%,,24.2168,1.99,,3
19-2-18 0:00,2458168.50,2972.00,2,Lunes,Febrero,19,"2,925.79",3210.2732,39252.1800,38790.9440,134.3036,0.1581,0.1332,0.2652,38790.7037,-6.2881,-0.0053,39245.9116,0.3835698588,39246.2952,36036.0219,9.56%,,36.0219,2.95,,4
20-2-18 0:00,2458169.50,2973.00,3,Martes,Febrero,20,"2,926.77",3211.2816,39265.3564,38804.0090,134.2506,-0.0920,0.1354,0.2696,38803.5120,-6.1145,-0.0972,39258.9173,0.4864012332,39259.4037,36048.1220,16.62%,,48.1220,3.95,,5
21-2-18 0:00,2458170.50,2974.00,4,Miércoles,Febrero,21,"2,927.76",3212.2896,39278.5328,38817.0740,134.1976,-0.3386,0.1376,0.2739,38816.3239,-5.6365,-0.1701,39272.2501,0.5698773722,39272.8200,36060.5304,25.40%,,60.5304,4.97,,6
22-2-18 0:00,2458171.50,2975.00,5,Jueves,Febrero,22,"2,928.75",3213.2972,39291.7092,38830.1389,134.1447,-0.5721,0.1397,0.2782,38829.1490,-4.8769,-0.2096,39285.9110,0.6282239275,39286.5393,36073.2421,35.58%,,73.2421,6.01,,7
23-2-18 0:00,2458172.50,2976.00,6,Viernes,Febrero,23,"2,929.73",3214.3044,39304.8856,38843.2039,134.0917,-0.7836,0.1418,0.2823,38841.9963,-3.8720,-0.2076,39299.8807,0.656338886,39300.5370,36086.2326,46.71%,,86.2326,7.07,C. Creciente,8
24-2-18 0:00,2458173.50,2977.00,7,Sábado,Febrero,24,"2,930.72",3215.3111,39318.0620,38856.2689,134.0388,-0.9648,0.1438,0.2864,38854.8739,-2.6702,-0.1645,39314.1186,0.6505374438,39314.7692,36099.4581,58.22%,,99.4581,8.16,,9
25-2-18 0:00,2458174.50,2978.00,1,Domingo,Febrero,25,"2,931.70",3216.3173,39331.2384,38869.3339,133.9858,-1.1088,0.1458,0.2904,38867.7889,-1.3301,-0.0885,39328.5651,0.6092928796,39329.1744,36112.8571,69.42%,,112.8571,9.26,,10
26-2-18 0:00,2458175.50,2979.00,2,Lunes,Febrero,26,"2,932.69",3217.3232,39344.4148,38882.3989,133.9329,-1.2101,0.1478,0.2943,38880.7468,0.0820,0.0056,39343.1445,0.5337799064,39343.6783,36126.3551,79.64%,,126.3551,10.36,,11
27-2-18 0:00,2458176.50,2980.00,3,Martes,Febrero,27,"2,933.67",3218.3286,39357.5912,38895.4639,133.8799,-1.2646,0.1497,0.2981,38893.7516,1.4949,0.0988,39357.7706,0.4280374515,39358.1987,36139.8701,88.23%,,139.8701,11.47,,12
28-2-18 0:00,2458177.50,2981.00,4,Miércoles,Febrero,28,"2,934.66",3219.3335,39370.7676,38908.5289,133.8270,-1.2702,0.1516,0.3018,38906.8053,2.8359,0.1723,39372.3540,0.2986523041,39372.6526,36153.3191,94.68%,,153.3191,12.58,,13
1-3-18 0:00,2458178.50,2982.00,5,Jueves,Marzo,1,"2,935.65",3220.3380,39383.9440,38921.5939,133.7740,-1.2269,0.1534,0.3055,38919.9082,4.0345,0.2106,39386.8089,0.1540018334,39386.9629,36166.6249,98.64%,,166.6249,13.67,,14
2-3-18 0:00,2458179.50,2983.00,6,Viernes,Marzo,2,"2,936.63",3221.3419,39397.1204,38934.6589,133.7211,-1.1361,0.1552,0.3090,38933.0586,5.0262,0.2056,39401.0609,0.003229072999,39401.0641,36179.7222,100.00%,Luna Llena,179.7222,14.74,Luna Llena,15
3-3-18 0:00,2458180.50,2984.00,7,Sábado,Marzo,3,"2,937.62",3222.3455,39410.2968,38947.7239,133.6681,-1.0014,0.1569,0.3125,38946.2531,5.7562,0.1578,39415.0524,-0.1448026207,39414.9076,36192.5621,98.80%,,192.5621,15.80,,16
4-3-18 0:00,2458181.50,2985.00,1,Domingo,Marzo,4,"2,938.60",3223.3485,39423.4732,38960.7889,133.6152,-0.8280,0.1586,0.3158,38959.4865,6.1830,0.0768,39428.7464,-0.2823460931,39428.4641,36205.1155,95.27%,,205.1155,16.83,,17
5-3-18 0:00,2458182.50,2986.00,2,Lunes,Marzo,5,"2,939.59",3224.3511,39436.6496,38973.8539,133.5622,-0.6226,0.1602,0.3191,38972.7520,6.2813,-0.0205,39442.1276,-0.4032634017,39441.7243,36217.3732,89.73%,,217.3732,17.83,,18
6-3-18 0:00,2458183.50,2987.00,3,Martes,Marzo,6,"2,940.57",3225.3531,39449.8260,38986.9189,133.5092,-0.3931,0.1618,0.3223,38986.0417,6.0437,-0.1137,39455.2011,-0.5031625257,39454.6980,36229.3448,82.58%,,229.3448,18.81,,19
7-3-18 0:00,2458184.50,2988.00,4,Miércoles,Marzo,7,"2,941.56",3226.3547,39463.0024,38999.9839,133.4563,-0.1484,0.1634,0.3253,38999.3468,5.4816,-0.1828,39467.9894,-0.579261847,39467.4101,36241.0554,74.20%,,241.0554,19.77,,20
8-3-18 0:00,2458185.50,2989.00,5,Jueves,Marzo,8,"2,942.54",3227.3558,39476.1788,39013.0488,133.4033,0.1021,0.1649,0.3283,39012.6577,4.6247,-0.2133,39480.5274,-0.6301091552,39479.8973,36252.5415,65.00%,,252.5415,20.72,,21
9-3-18 0:00,2458186.50,2990.00,6,Viernes,Marzo,9,"2,943.53",3228.3564,39489.3552,39026.1138,133.3504,0.3486,0.1663,0.3312,39025.9649,3.5197,-0.1985,39492.8587,-0.6552718763,39492.2034,36263.8471,55.36%,,263.8471,21.64,C. Menguante,22
10-3-18 0:00,2458187.50,2991.00,7,Sábado,Marzo,10,"2,944.52",3229.3565,39502.5316,39039.1788,133.2974,0.5817,0.1677,0.3340,39039.2588,2.2271,-0.1418,39505.0309,-0.6550741671,39504.3758,36275.0194,45.63%,,275.0194,22.56,,23
11-3-18 0:00,2458188.50,2992.00,1,Domingo,Marzo,11,"2,945.50",3230.3560,39515.7080,39052.2438,133.2445,0.7923,0.1691,0.3367,39052.5304,0.8175,-0.0552,39517.0936,-0.6304104276,39516.4632,36286.1071,36.13%,,286.1071,23.47,,24
12-3-18 0:00,2458189.50,2993.00,2,Lunes,Marzo,12,"2,946.49",3231.3551,39528.8844,39065.3088,133.1915,0.9723,0.1704,0.3393,39065.7714,-0.6324,0.0428,39529.0967,-0.5826320655,39528.5141,36297.1590,27.18%,,297.1590,24.38,,25
13-3-18 0:00,2458190.50,2994.00,3,Martes,Marzo,13,"2,947.47",3232.3536,39542.0608,39078.3738,133.1386,1.1146,0.1716,0.3418,39078.9750,-2.0448,0.1316,39541.0906,-0.5134914973,39540.5771,36308.2235,19.06%,,308.2235,25.28,,26
14-3-18 0:00,2458191.50,2995.00,4,Miércoles,Marzo,14,"2,948.46",3233.3516,39555.2372,39091.4388,133.0856,1.2138,0.1728,0.3442,39092.1356,-3.3451,0.1928,39553.1259,-0.4251304953,39552.7007,36319.3491,12.07%,,319.3491,26.20,,27
15-3-18 0:00,2458192.50,2996.00,5,Jueves,Marzo,15,"2,949.44",3234.3491,39568.4135,39104.5038,133.0327,1.2660,0.1740,0.3464,39105.2494,-4.4660,0.2140,39565.2536,-0.3201093249,39564.9335,36330.5844,6.45%,,330.5844,27.12,,28
16-3-18 0:00,2458193.50,2997.00,6,Viernes,Marzo,16,"2,950.43",3235.3460,39581.5899,39117.5688,132.9797,1.2692,0.1751,0.3486,39118.3143,-5.3512,0.1913,39577.5242,-0.2014782537,39577.3227,36341.9767,2.45%,,341.9767,28.05,,29
17-3-18 0:00,2458194.50,2998.00,7,Sábado,Marzo,17,"2,951.42",3236.3424,39594.7663,39130.6338,132.9268,1.2232,0.1761,0.3507,39131.3302,-5.9577,0.1298,39589.9856,-0.072887207,39589.9127,36353.5703,0.31%,,353.5703,29.00,Luna Nueva,30
18-3-18 0:00,2458195.50,2999.00,1,Domingo,Marzo,18,"2,952.40",3237.3383,39607.9427,39143.6988,132.8738,1.1299,0.1771,0.3527,39144.2988,-6.2575,0.0423,39602.6803,0.06128825283,39602.7416,36365.4033,0.22%,Luna Nueva,5.4033,0.44,,1
19-3-18 0:00,2458196.50,3000.00,2,Lunes,Marzo,19,"2,953.39",3238.3336,39621.1191,39156.7638,132.8208,0.9927,0.1780,0.3546,39157.2239,-6.2387,-0.0534,39615.6417,0.195850632,39615.8376,36377.5039,2.32%,,17.5039,1.44,,2
20-3-18 0:00,2458197.50,3001.00,3,Martes,Marzo,20,"2,954.37",3239.3284,39634.2955,39169.8288,132.7679,0.8170,0.1789,0.3563,39170.1105,-5.9052,-0.1382,39628.8903,0.3247808262,39629.2151,36389.8866,6.65%,,29.8866,2.45,,3
21-3-18 0:00,2458198.50,3002.00,4,Miércoles,Marzo,21,"2,955.36",3240.3227,39647.4719,39182.8937,132.7149,0.6097,0.1798,0.3580,39182.9657,-5.2761,-0.1954,39642.4304,0.4414075652,39642.8718,36402.5491,13.17%,,42.5491,3.49,,4
22-3-18 0:00,2458199.50,3003.00,5,Jueves,Marzo,22,"2,956.34",3241.3164,39660.6483,39195.9587,132.6620,0.3787,0.1805,0.3595,39195.7974,-4.3844,-0.2139,39656.2482,0.5387981084,39656.7870,36415.4706,21.66%,,55.4706,4.55,,5
23-3-18 0:00,2458200.50,3004.00,6,Viernes,Marzo,23,"2,957.33",3242.3095,39673.8247,39209.0237,132.6090,0.1330,0.1813,0.3610,39208.6145,-3.2751,-0.1903,39670.3111,0.6103720413,39670.9215,36428.6120,31.77%,,68.6120,5.63,,6
24-3-18 0:00,2458201.50,3005.00,7,Sábado,Marzo,24,"2,958.32",3243.3021,39687.0011,39222.0887,132.5561,-0.1179,0.1819,0.3623,39221.4266,-2.0030,-0.1292,39684.5690,0.6506679389,39685.2197,36441.9176,42.97%,,81.9176,6.72,C. Creciente,7
25-3-18 0:00,2458202.50,3006.00,1,Domingo,Marzo,25,"2,959.30",3244.2941,39700.1775,39235.1537,132.5031,-0.3642,0.1826,0.3636,39234.2434,-0.6308,-0.0427,39698.9572,0.6561209814,39699.6134,36455.3192,54.64%,,95.3192,7.82,,8
26-3-18 0:00,2458203.50,3007.00,2,Lunes,Marzo,26,"2,960.29",3245.2856,39713.3539,39248.2187,132.4502,-0.5964,0.1831,0.3647,39247.0744,0.7745,0.0523,39713.4011,0.6256690924,39714.0268,36468.7412,66.06%,,108.7412,8.92,,9
27-3-18 0:00,2458204.50,3008.00,3,Martes,Marzo,27,"2,961.27",3246.2765,39726.5303,39261.2837,132.3972,-0.8056,0.1836,0.3657,39259.9288,2.1435,0.1371,39727.8217,0.5610215194,39728.3828,36482.1062,76.57%,,122.1062,10.02,,10
28-3-18 0:00,2458205.50,3009.00,4,Miércoles,Marzo,28,"2,962.26",3247.2669,39739.7067,39274.3487,132.3443,-0.9834,0.1841,0.3666,39272.8145,3.4079,0.1949,39742.1420,0.4665016533,39742.6086,36495.3416,85.57%,,135.3416,11.10,,11
29-3-18 0:00,2458206.50,3010.00,5,Jueves,Marzo,29,"2,963.24",3248.2567,39752.8831,39287.4137,132.2913,-1.1231,0.1845,0.3674,39285.7386,4.5037,0.2139,39756.2931,0.3484913368,39756.6416,36508.3849,92.58%,,148.3849,12.17,,12
30-3-18 0:00,2458207.50,3011.00,6,Viernes,Marzo,30,"2,964.23",3249.2459,39766.0595,39300.4787,132.2384,-1.2192,0.1849,0.3681,39298.7065,5.3737,0.1900,39770.2191,0.2146127949,39770.4337,36521.1878,97.33%,,161.1878,13.22,,13
31-3-18 0:00,2458208.50,3012.00,7,Sábado,Marzo,31,"2,965.21",3250.2346,39779.2359,39313.5437,132.1854,-1.2679,0.1852,0.3687,39311.7219,5.9713,0.1275,39783.8816,0.0728439951,39783.9544,36533.7198,99.70%,,173.7198,14.25,Luna Llena,14
1-4-18 0:00,2458209.50,3013.00,1,Domingo,Abril,1,"2,966.20",3251.2227,39792.4123,39326.6087,132.1324,-1.2674,0.1854,0.3692,39324.7866,6.2626,0.0387,39797.2608,-0.06924566397,39797.1915,36545.9688,99.73%,,185.9688,15.25,,15
2-4-18 0:00,2458210.50,3014.00,2,Lunes,Abril,2,"2,967.19",3252.2103,39805.5887,39339.6737,132.0795,-1.2177,0.1856,0.3696,39337.9008,6.2289,-0.0583,39810.3560,-0.2050180288,39810.1510,36557.9407,97.57%,,197.9407,16.24,,16
3-4-18 0:00,2458211.50,3015.00,3,Martes,Abril,3,"2,968.17",3253.1973,39818.7651,39352.7386,132.0265,-1.1206,0.1857,0.3698,39351.0625,5.8685,-0.1435,39823.1837,-0.3290147624,39822.8547,36569.6574,93.45%,,209.6574,17.20,,17
4-4-18 0:00,2458212.50,3016.00,4,Miércoles,Abril,4,"2,969.16",3254.1837,39831.9415,39365.8036,131.9736,-0.9800,0.1858,0.3700,39364.2679,5.1970,-0.1992,39835.7736,-0.4369756673,39835.3366,36581.1529,87.65%,,221.1529,18.14,,18
5-4-18 0:00,2458213.50,3017.00,5,Jueves,Abril,5,"2,970.14",3255.1695,39845.1179,39378.8686,131.9206,-0.8012,0.1858,0.3700,39377.5116,4.2476,-0.2132,39848.1653,-0.5257123112,39847.6396,36592.4700,80.46%,,232.4700,19.07,,19
