,Date time,Minimum Temperature,Maximum Temperature,Wind Speed,Precipitation
0,01/01/2016,10.1,27.1,9.4,0.0
1,01/02/2016,17.0,25.1,22.3,0.0
2,01/03/2016,14.1,24.1,16.6,0.0
3,01/04/2016,11.1,24.1,22.3,0.0
4,01/05/2016,9.2,23.1,24.1,0.0
5,01/06/2016,5.1,21.7,22.3,0.0
6,01/07/2016,6.1,21.3,29.5,0.0
7,01/08/2016,4.1,22.1,27.7,0.0
8,01/09/2016,1.1,21.7,20.5,0.0
9,01/10/2016,13.1,24.1,28.3,0.0
10,01/11/2016,0.1,24.1,25.9,0.0
11,01/12/2016,3.1,24.1,22.3,0.0
12,01/13/2016,9.1,22.1,24.1,0.0
13,01/14/2016,9.1,22.7,27.7,0.0
14,01/15/2016,5.9,22.1,11.2,0.0
15,01/16/2016,9.1,24.1,7.2,0.0
16,01/17/2016,1.1,24.9,13.0,0.0
17,01/18/2016,7.7,23.1,5.0,0.0
18,01/19/2016,5.1,23.1,9.4,0.0
19,01/20/2016,6.1,24.1,7.2,0.0
20,01/21/2016,7.1,25.1,5.0,0.0
21,01/22/2016,8.4,25.1,13.0,0.0
22,01/23/2016,19.7,25.3,4.2,0.0
23,01/24/2016,23.9,23.9,7.2,0.0
24,01/25/2016,7.1,21.1,3.6,0.0
25,01/26/2016,8.9,22.1,13.0,0.0
26,01/27/2016,5.1,19.6,18.4,0.0
27,01/28/2016,7.1,19.9,25.9,0.0
28,01/29/2016,5.6,22.4,7.3,0.0
29,01/30/2016,16.1,24.6,10.8,0.0
30,01/31/2016,12.1,26.1,9.4,0.0
31,02/01/2016,4.1,27.1,11.2,0.0
32,02/02/2016,4.1,27.1,33.5,0.0
33,02/03/2016,8.9,19.4,7.2,0.0
34,02/04/2016,0.1,26.1,3.6,0.0
35,02/05/2016,5.4,18.7,3.6,0.0
36,02/06/2016,,,,
37,02/07/2016,18.7,21.2,3.6,0.0
38,02/08/2016,3.1,22.1,11.2,0.0
39,02/09/2016,12.1,15.9,7.2,0.0
40,02/10/2016,8.9,8.9,3.6,0.0
41,02/11/2016,7.6,19.7,7.6,0.0
42,02/12/2016,7.7,24.1,3.6,0.0
43,02/13/2016,19.1,25.1,9.4,0.0
44,02/14/2016,25.9,27.1,11.2,0.0
45,02/15/2016,22.9,26.6,7.2,0.0
46,02/16/2016,10.6,27.1,11.2,0.0
47,02/17/2016,13.9,30.0,20.5,0.0
48,02/18/2016,9.9,28.2,3.6,0.0
49,02/19/2016,10.2,27.4,9.4,0.0
50,02/20/2016,26.6,28.1,7.6,0.0
51,02/21/2016,14.1,29.9,3.6,0.0
52,02/22/2016,11.2,29.1,7.2,0.0
53,02/23/2016,10.9,28.1,14.8,0.0
54,02/24/2016,9.9,28.6,3.6,0.0
55,02/25/2016,12.9,28.1,9.4,0.0
56,02/26/2016,15.1,27.2,9.4,0.0
57,02/27/2016,15.1,17.1,7.6,0.0
58,02/28/2016,24.2,24.2,9.9,0.0
59,02/29/2016,12.9,28.1,9.4,0.0
60,03/01/2016,14.2,28.1,3.6,0.0
61,03/02/2016,14.1,27.6,7.6,0.0
62,03/03/2016,13.9,28.6,31.7,0.0
63,03/04/2016,14.9,29.2,7.2,0.0
64,03/05/2016,10.1,29.6,7.2,0.0
65,03/06/2016,25.1,28.4,7.2,0.0
66,03/07/2016,13.1,27.4,33.5,0.0
67,03/08/2016,10.1,24.6,29.5,0.0
68,03/09/2016,4.7,13.1,31.7,5.0
69,03/10/2016,3.1,16.6,10.8,0.0
70,03/11/2016,7.1,21.6,7.2,0.0
71,03/12/2016,13.1,25.5,4.0,0.0
72,03/13/2016,19.1,27.4,7.6,0.0
73,03/14/2016,9.1,30.1,7.8,0.0
74,03/15/2016,12.1,27.1,7.6,0.0
75,03/16/2016,26.9,28.1,14.8,0.0
76,03/17/2016,19.1,25.1,7.6,0.0
77,03/18/2016,12.0,26.2,7.2,0.0
78,03/19/2016,19.1,27.6,7.2,0.0
79,03/20/2016,9.1,21.1,7.6,0.0
80,03/21/2016,16.1,25.1,18.4,0.0
81,03/22/2016,25.2,28.1,16.6,0.0
82,03/23/2016,19.1,28.4,10.8,0.0
83,03/24/2016,17.0,30.0,22.3,0.0
84,03/25/2016,28.1,28.6,31.7,0.0
85,03/26/2016,16.5,27.1,27.7,0.0
86,03/27/2016,19.1,28.1,13.0,0.0
87,03/28/2016,30.1,32.1,22.3,0.0
88,03/29/2016,17.0,30.0,11.2,0.0
89,03/30/2016,28.1,31.1,7.2,0.0
90,03/31/2016,22.1,31.6,27.7,0.0
91,04/01/2016,29.2,29.2,7.2,0.0
92,04/02/2016,30.0,30.1,18.4,0.0
93,04/03/2016,27.1,27.1,0.0,0.0
94,04/04/2016,29.1,29.1,11.2,0.0
95,04/05/2016,30.1,30.1,14.8,0.0
96,04/06/2016,,,,
97,04/07/2016,,,,
98,04/08/2016,30.1,32.1,13.0,0.0
99,04/09/2016,25.1,25.1,0.0,0.0
100,04/10/2016,25.1,25.1,0.0,0.0
101,04/11/2016,28.6,31.9,16.6,0.0
102,04/12/2016,19.1,30.3,11.2,0.0
103,04/13/2016,29.9,33.4,7.2,0.0
104,04/14/2016,29.4,31.1,18.4,0.0
105,04/15/2016,27.7,29.1,11.2,0.0
106,04/16/2016,24.1,24.1,7.6,0.0
107,04/17/2016,24.1,28.7,9.4,0.0
108,04/18/2016,22.1,31.9,27.7,0.0
109,04/19/2016,21.1,31.1,10.8,0.0
110,04/20/2016,14.1,28.1,11.2,0.0
111,04/21/2016,18.9,29.7,7.2,0.0
112,04/22/2016,25.9,27.4,3.6,0.0
113,04/23/2016,17.1,29.9,7.2,0.0
114,04/24/2016,19.7,28.9,10.8,0.0
115,04/25/2016,21.1,28.2,7.2,0.0
116,04/26/2016,23.9,26.9,18.4,0.0
117,04/27/2016,17.1,30.7,7.2,0.0
118,04/28/2016,12.1,31.9,7.2,0.0
119,04/29/2016,25.1,29.7,10.8,0.0
120,04/30/2016,25.1,30.0,3.6,0.0
121,05/01/2016,20.2,31.1,10.8,0.0
122,05/02/2016,28.1,34.4,24.1,0.0
123,05/03/2016,9.1,34.4,10.8,0.0
124,05/04/2016,21.1,22.1,5.6,0.0
125,05/05/2016,22.6,33.3,8.2,0.0
126,05/06/2016,19.1,34.4,9.4,0.0
127,05/07/2016,29.9,33.6,25.9,0.0
128,05/08/2016,21.4,32.0,10.9,0.0
129,05/09/2016,22.1,30.1,22.3,0.0
130,05/10/2016,18.1,31.1,9.4,0.0
131,05/11/2016,23.1,32.6,25.9,0.0
132,05/12/2016,19.1,31.1,13.0,0.0
133,05/13/2016,19.1,32.2,9.4,0.0
134,05/14/2016,27.1,30.6,5.4,0.0
135,05/15/2016,23.4,31.4,11.2,0.0
136,05/16/2016,21.1,26.6,7.2,0.0
137,05/17/2016,17.3,32.1,25.9,0.0
138,05/18/2016,22.6,31.1,22.3,0.0
139,05/19/2016,23.2,32.1,13.0,0.0
140,05/20/2016,29.9,32.9,7.2,0.0
141,05/21/2016,23.7,34.9,9.4,0.0
142,05/22/2016,21.1,33.1,14.4,0.0
143,05/23/2016,21.1,30.6,7.6,0.0
144,05/24/2016,22.4,34.9,7.2,0.0
145,05/25/2016,24.1,31.1,7.2,0.0
146,05/26/2016,22.7,33.4,11.2,0.0
147,05/27/2016,23.1,33.1,10.8,0.0
148,05/28/2016,22.1,30.0,7.2,0.0
149,05/29/2016,23.9,34.1,9.4,0.0
150,05/30/2016,29.7,34.6,10.8,0.0
151,05/31/2016,24.0,32.6,11.2,0.0
152,06/01/2016,21.1,29.1,7.2,0.0
153,06/02/2016,22.6,32.9,10.8,0.0
154,06/03/2016,23.2,32.1,7.6,0.0
155,06/04/2016,23.1,29.6,7.2,0.0
156,06/05/2016,23.6,31.9,7.2,0.0
157,06/06/2016,17.1,28.1,16.6,0.0
158,06/07/2016,27.4,32.4,10.8,0.0
159,06/08/2016,22.1,29.1,7.8,0.0
160,06/09/2016,18.1,30.1,7.6,0.0
161,06/10/2016,22.1,31.9,7.2,0.0
162,06/11/2016,21.4,32.1,11.2,0.0
163,06/12/2016,19.1,26.9,7.2,0.0
164,06/13/2016,18.7,24.0,4.2,0.0
165,06/14/2016,19.1,28.2,7.6,0.0
166,06/15/2016,19.6,25.1,7.6,0.0
167,06/16/2016,21.1,28.5,14.8,0.0
168,06/17/2016,21.4,25.1,7.2,0.0
169,06/18/2016,19.6,29.1,13.0,0.0
170,06/19/2016,17.1,27.7,16.6,0.0
171,06/20/2016,19.1,26.2,7.2,0.0
172,06/21/2016,21.6,25.9,7.2,0.0
173,06/22/2016,21.1,27.1,11.2,0.0
174,06/23/2016,17.1,28.5,13.0,0.0
175,06/24/2016,16.1,28.1,7.2,0.0
176,06/25/2016,20.1,28.1,7.2,0.0
177,06/26/2016,21.2,28.2,6.7,0.0
178,06/27/2016,20.5,26.1,9.4,0.5
179,06/28/2016,20.5,27.7,7.2,0.0
180,06/29/2016,19.4,27.1,7.6,0.0
181,06/30/2016,20.1,27.9,7.6,0.0
182,07/01/2016,19.1,26.4,7.2,0.0
183,07/02/2016,18.6,26.4,13.0,0.0
184,07/03/2016,20.1,29.4,7.6,0.0
185,07/04/2016,16.1,24.4,14.8,0.0
186,07/05/2016,17.6,25.1,3.6,4.0
187,07/06/2016,16.1,23.1,7.2,0.0
188,07/07/2016,19.1,28.1,7.2,0.0
189,07/08/2016,19.1,25.6,7.2,0.0
190,07/09/2016,20.1,29.4,7.6,0.0
191,07/10/2016,22.9,22.9,3.4,0.0
192,07/11/2016,17.1,27.2,14.8,5.0
193,07/12/2016,18.0,24.9,7.6,0.0
194,07/13/2016,18.1,25.4,9.4,0.0
195,07/14/2016,18.4,26.4,7.2,0.0
196,07/15/2016,19.1,26.1,7.6,0.0
197,07/16/2016,19.6,27.3,9.4,0.0
198,07/17/2016,18.6,26.9,6.7,0.0
199,07/18/2016,18.6,27.7,7.2,0.0
200,07/19/2016,20.2,28.1,7.6,0.0
201,07/20/2016,19.1,25.9,9.4,0.0
202,07/21/2016,18.6,25.1,7.3,2.0
203,07/22/2016,21.2,27.9,7.7,0.0
204,07/23/2016,22.1,27.1,7.2,0.0
205,07/24/2016,19.1,27.4,7.6,0.0
206,07/25/2016,17.1,27.9,9.4,0.0
207,07/26/2016,19.9,27.9,7.6,0.0
208,07/27/2016,20.2,27.1,3.6,0.0
209,07/28/2016,17.1,21.4,3.6,11.0
210,07/29/2016,19.4,25.1,7.2,0.0
211,07/30/2016,22.1,27.0,9.4,0.0
212,07/31/2016,24.1,27.3,9.4,0.0
213,08/01/2016,20.5,24.1,18.4,0.0
214,08/02/2016,19.1,27.4,5.4,0.0
215,08/03/2016,18.4,27.4,3.6,0.0
216,08/04/2016,21.1,25.6,7.9,0.0
217,08/05/2016,21.6,28.4,7.2,0.0
218,08/06/2016,21.4,25.6,10.8,0.0
219,08/07/2016,23.4,26.7,10.8,0.0
220,08/08/2016,20.5,25.1,7.1,0.0
221,08/09/2016,20.2,24.1,7.2,0.0
222,08/10/2016,20.7,27.1,20.5,0.0
223,08/11/2016,20.5,26.1,14.8,0.0
224,08/12/2016,18.6,28.4,3.6,0.0
225,08/13/2016,19.6,28.2,7.2,0.0
226,08/14/2016,18.7,29.1,7.2,0.0
227,08/15/2016,20.1,27.1,3.6,0.0
228,08/16/2016,20.1,27.2,7.2,0.0
229,08/17/2016,20.1,23.4,3.6,0.0
230,08/18/2016,18.6,24.9,3.6,28.0
231,08/19/2016,19.2,22.7,3.6,0.0
232,08/20/2016,19.9,27.1,3.6,0.0
233,08/21/2016,18.1,25.7,7.2,0.0
234,08/22/2016,19.1,24.4,7.2,0.0
235,08/23/2016,17.9,25.9,7.2,0.0
236,08/24/2016,18.2,25.7,7.6,0.0
237,08/25/2016,18.1,23.4,9.4,0.0
238,08/26/2016,19.1,27.1,3.6,0.0
239,08/27/2016,19.6,27.6,7.6,0.0
240,08/28/2016,24.9,27.1,14.8,0.0
241,08/29/2016,19.0,24.1,7.2,0.0
242,08/30/2016,20.5,28.2,13.0,0.0
243,08/31/2016,20.1,28.2,7.2,0.0
244,09/01/2016,19.6,25.9,7.2,0.0
245,09/02/2016,19.6,27.2,13.0,0.0
246,09/03/2016,20.1,27.1,13.0,0.0
247,09/04/2016,21.5,24.1,33.5,0.0
248,09/05/2016,17.6,20.1,13.0,0.3
249,09/06/2016,19.2,27.1,7.6,0.0
250,09/07/2016,20.5,28.7,3.6,0.0
251,09/08/2016,20.1,27.1,5.4,0.0
252,09/09/2016,21.4,25.2,7.2,0.0
253,09/10/2016,21.1,28.6,7.2,0.0
254,09/11/2016,19.4,25.2,11.2,0.0
255,09/12/2016,21.6,27.1,16.6,0.0
256,09/13/2016,21.1,26.9,7.6,0.0
257,09/14/2016,20.5,26.7,7.2,0.0
258,09/15/2016,19.9,27.4,9.4,0.0
259,09/16/2016,26.1,27.7,7.2,0.0
260,09/17/2016,25.7,27.3,4.3,0.0
261,09/18/2016,19.1,26.4,7.6,0.0
262,09/19/2016,19.6,27.2,7.2,0.0
263,09/20/2016,20.1,27.2,7.2,0.0
264,09/21/2016,18.7,27.9,13.0,0.0
265,09/22/2016,16.1,26.9,7.2,0.0
266,09/23/2016,19.6,24.3,8.5,0.0
267,09/24/2016,20.1,24.8,3.8,0.0
268,09/25/2016,19.9,26.9,3.8,0.0
269,09/26/2016,20.5,27.4,11.2,0.0
270,09/27/2016,17.1,27.1,7.2,0.0
271,09/28/2016,19.6,26.9,7.2,0.0
272,09/29/2016,19.2,26.2,9.4,0.0
273,09/30/2016,19.0,26.1,11.2,0.0
274,10/01/2016,18.4,24.9,7.2,2.0
275,10/02/2016,24.2,24.2,3.6,5.0
276,10/03/2016,20.1,27.7,7.2,0.0
277,10/04/2016,20.1,26.4,7.2,0.0
278,10/05/2016,20.7,28.7,3.6,0.0
279,10/06/2016,21.1,27.5,6.7,0.0
280,10/07/2016,21.1,29.2,7.2,0.0
281,10/08/2016,19.1,26.9,7.2,0.0
282,10/09/2016,19.7,24.9,7.2,0.0
283,10/10/2016,18.6,26.4,14.8,0.0
284,10/11/2016,18.6,27.1,7.2,0.0
285,10/12/2016,13.1,25.9,7.2,0.0
286,10/13/2016,21.1,29.4,14.8,0.0
287,10/14/2016,19.1,28.4,7.2,0.0
288,10/15/2016,20.1,27.1,7.2,0.0
289,10/16/2016,15.1,24.4,7.2,0.0
290,10/17/2016,20.1,26.2,7.2,0.0
291,10/18/2016,,,,
292,10/19/2016,19.6,27.7,3.6,0.0
293,10/20/2016,18.6,24.9,7.2,0.0
294,10/21/2016,17.6,23.4,10.8,0.0
295,10/22/2016,18.1,26.4,7.2,0.0
296,10/23/2016,19.1,27.4,5.4,0.0
297,10/24/2016,18.6,27.1,5.4,0.0
298,10/25/2016,20.0,28.1,9.4,0.0
299,10/26/2016,19.6,27.2,7.6,0.0
300,10/27/2016,17.6,25.2,7.2,0.0
301,10/28/2016,14.1,25.9,7.6,0.0
302,10/29/2016,16.4,26.1,14.8,0.0
303,10/30/2016,16.6,26.6,7.2,0.0
304,10/31/2016,16.6,27.7,11.2,0.0
305,11/01/2016,17.4,25.1,7.2,0.0
306,11/02/2016,17.1,29.1,7.2,0.0
307,11/03/2016,19.1,28.9,7.6,0.0
308,11/04/2016,18.4,27.6,13.0,0.0
309,11/05/2016,17.6,27.1,11.2,0.0
310,11/06/2016,20.1,27.1,13.0,0.0
311,11/07/2016,16.9,27.2,18.4,0.0
312,11/08/2016,19.1,25.9,7.2,0.0
313,11/09/2016,16.6,22.9,7.2,0.0
314,11/10/2016,19.4,19.4,3.6,0.0
315,11/11/2016,16.6,21.2,7.2,0.0
316,11/12/2016,15.6,17.6,3.6,2.0
317,11/13/2016,14.7,16.9,7.2,12.0
318,11/14/2016,15.7,22.2,3.6,0.0
319,11/15/2016,13.1,25.1,9.4,0.0
320,11/16/2016,14.1,24.4,7.6,0.0
321,11/17/2016,18.1,23.9,6.7,0.0
322,11/18/2016,12.1,26.2,7.2,0.0
323,11/19/2016,15.6,23.1,24.1,0.0
324,11/20/2016,13.6,23.1,7.6,0.0
325,11/21/2016,12.6,12.6,,0.0
326,11/22/2016,24.9,24.9,3.6,0.0
327,11/23/2016,14.1,25.4,5.4,0.0
328,11/24/2016,14.6,24.1,3.6,0.0
329,11/25/2016,13.1,25.9,7.6,0.0
330,11/26/2016,13.6,24.1,13.0,0.0
331,11/27/2016,11.9,24.2,5.4,0.0
332,11/28/2016,12.4,12.4,3.6,0.0
333,11/29/2016,23.1,24.9,29.5,0.0
334,11/30/2016,12.9,21.1,7.2,0.0
335,12/01/2016,17.1,22.9,7.6,0.0
336,12/02/2016,15.7,23.7,7.2,0.0
337,12/03/2016,18.0,24.4,31.7,0.0
338,12/04/2016,20.1,21.7,33.5,0.0
339,12/05/2016,9.6,23.1,29.5,0.0
340,12/06/2016,9.1,25.1,14.8,0.0
341,12/07/2016,9.4,25.4,7.2,0.0
342,12/08/2016,11.4,26.7,7.2,0.0
343,12/09/2016,12.1,24.6,7.7,0.0
344,12/10/2016,13.9,20.1,11.2,0.0
345,12/11/2016,13.4,25.1,5.4,0.0
346,12/12/2016,6.1,25.7,3.6,0.0
347,12/13/2016,10.1,22.1,7.2,0.0
348,12/14/2016,9.1,22.4,7.2,0.0
349,12/15/2016,22.1,22.1,7.2,0.0
350,12/16/2016,13.8,25.7,7.2,0.0
351,12/17/2016,12.1,25.1,14.8,0.0
352,12/18/2016,9.7,24.4,7.2,0.0
353,12/19/2016,10.4,25.1,7.4,0.0
354,12/20/2016,13.1,24.2,7.6,0.0
355,12/21/2016,12.1,25.9,11.2,0.0
356,12/22/2016,7.1,27.1,7.6,0.0
357,12/23/2016,12.1,21.1,7.2,0.0
358,12/24/2016,,,,
359,12/25/2016,24.1,24.1,13.0,0.0
360,12/26/2016,9.1,24.1,11.2,0.0
361,12/27/2016,23.1,26.3,4.1,0.0
362,12/28/2016,25.1,25.4,5.4,0.0
363,12/29/2016,12.1,21.6,7.2,0.0
364,12/30/2016,11.6,25.6,7.2,0.0
365,12/31/2016,10.1,22.2,9.4,0.0
