Epoca: ,1-ene.-10,2010.0,,2455196.50,,,,e,ε_g,ϖ_g,L_o Luna,P_o Luna,N_o Luna,Año trópico,,,,,,,,Luna Nueva,Luna Llena,Mes Sinódico,,,
,,,,,,,,0.016705,279.557208,283.11,91.929336,130.143076,291.682547,365.242191,,,,,,,,0.28%,99.80%,29.5306,,,
Epoca 2014.0,1-ene.-00,,,2451544.50,,,,,,,,,,,,-0.1394717093,,,,,,,,,,,
2415018.500,,,T=,1.00,,,,,,,,,,,,,,,,,,,,,,,
Fecha,Dia Juliano,D (dias),,,,,M ʘ,Long. Ecl. ʘ,L,Mm,N,E_v,A_e,A_3,Mm´,E_c,A_4,L´,V,L´´ ,D ( º ),Fase,,,Dia Exacto de Fase,,
1-1-19 0:00,2458484.50,3288.00,3,Martes,Enero,1,"3,237.25",3520.2740,43415.9214,42919.4816,117.5701,0.6017,-0.0089,-0.0177,42920.1100,6.1951,0.0724,43422.7996,-0.5550466907,43422.2445,39901.9705,23.53%,,301.9705,24.77,,1
2-1-19 0:00,2458485.50,3289.00,4,Miércoles,Enero,2,"3,238.24",3521.2925,43429.0978,42932.5466,117.5172,0.3711,-0.0057,-0.0114,42932.9348,6.2804,-0.0219,43435.7330,-0.4700117495,43435.2630,39913.9705,15.29%,,313.9705,25.75,,2
3-1-19 0:00,2458486.50,3290.00,5,Jueves,Enero,3,"3,239.22",3522.3111,43442.2742,42945.6116,117.4642,0.1262,-0.0025,-0.0050,42945.7453,6.0526,-0.1118,43448.3437,-0.3678059765,43447.9759,39925.6648,8.71%,,325.6648,26.71,,3
4-1-19 0:00,2458487.50,3291.00,6,Viernes,Enero,4,"3,240.21",3523.3297,43455.4505,42958.6766,117.4113,-0.1235,0.0007,0.0014,42958.5510,5.5239,-0.1797,43460.6705,-0.2536092392,43460.4169,39937.0872,3.95%,,337.0872,27.65,,4
5-1-19 0:00,2458488.50,3292.00,7,Sábado,Enero,5,"3,241.20",3524.3483,43468.6269,42971.7416,117.3583,-0.3685,0.0039,0.0077,42971.3614,4.7199,-0.2123,43472.7622,-0.1322126371,43472.6300,39948.2817,1.04%,,348.2817,28.57,Luna Nueva,5
6-1-19 0:00,2458489.50,3293.00,1,Domingo,Enero,6,"3,242.18",3525.3668,43481.8033,42984.8066,117.3054,-0.5994,0.0071,0.0141,42984.1860,3.6798,-0.2031,43484.6736,-0.007964347522,43484.6657,39959.2988,0.00%,Luna Nueva,359.2988,29.47,Luna Nueva,1
7-1-19 0:00,2458490.50,3294.00,2,Lunes,Enero,7,"3,243.17",3526.3854,43494.9797,42997.8716,117.2524,-0.8072,0.0103,0.0204,42997.0337,2.4537,-0.1538,43496.4623,0.1151830016,43496.5775,39970.1921,0.79%,,10.1921,0.84,,2
8-1-19 0:00,2458491.50,3295.00,3,Martes,Enero,8,"3,244.15",3527.4039,43508.1561,43010.9365,117.1994,-0.9839,0.0135,0.0268,43009.9124,1.1015,-0.0738,43508.1864,0.2335793861,43508.4200,39981.0161,3.33%,,21.0161,1.72,,3
9-1-19 0:00,2458492.50,3296.00,4,Miércoles,Enero,9,"3,245.14",3528.4223,43521.3325,43024.0015,117.1465,-1.1229,0.0166,0.0331,43022.8289,-0.3104,0.0211,43519.9037,0.3437785133,43520.2475,39991.8252,7.52%,,31.8252,2.61,,4
10-1-19 0:00,2458493.50,3297.00,5,Jueves,Enero,10,"3,246.12",3529.4408,43534.5089,43037.0665,117.0935,-1.2187,0.0198,0.0395,43035.7885,-1.7111,0.1121,43531.6714,0.4424545976,43532.1139,40002.6731,13.24%,,42.6731,3.50,,5
11-1-19 0:00,2458494.50,3298.00,6,Viernes,Enero,11,"3,247.11",3530.4591,43547.6853,43050.1315,117.0406,-1.2676,0.0230,0.0458,43048.7951,-3.0291,0.1807,43543.5463,0.5263437161,43544.0726,40013.6135,20.34%,,53.6135,4.40,,6
12-1-19 0:00,2458495.50,3299.00,7,Sábado,Enero,12,"3,248.10",3531.4774,43560.8617,43063.1965,116.9876,-1.2679,0.0262,0.0521,43061.8504,-4.1957,0.2127,43555.5847,0.5922155246,43556.1769,40024.6995,28.63%,,64.6995,5.31,,7
13-1-19 0:00,2458496.50,3300.00,1,Domingo,Enero,13,"3,249.08",3532.4956,43574.0381,43076.2615,116.9347,-1.2194,0.0293,0.0584,43074.9544,-5.1484,0.2012,43567.8422,0.6368879059,43568.4791,40035.9835,37.89%,,75.9835,6.23,,8
14-1-19 0:00,2458497.50,3301.00,2,Lunes,Enero,14,"3,250.07",3533.5137,43587.2145,43089.3265,116.8817,-1.1240,0.0325,0.0647,43088.1053,-5.8350,0.1481,43580.3711,0.6573100275,43581.0284,40047.5147,47.83%,,87.5147,7.18,C. Creciente,9
15-1-19 0:00,2458498.50,3302.00,3,Martes,Enero,15,"3,251.05",3534.5318,43600.3909,43102.3915,116.8288,-0.9854,0.0356,0.0709,43101.2995,-6.2162,0.0640,43593.2176,0.6507500372,43593.8684,40059.3366,58.11%,,99.3366,8.15,,10
16-1-19 0:00,2458499.50,3303.00,4,Miércoles,Enero,16,"3,252.04",3535.5497,43613.5673,43115.4565,116.7758,-0.8089,0.0388,0.0772,43114.5316,-6.2689,-0.0337,43606.4170,0.6151207599,43607.0321,40071.4824,68.31%,,111.4824,9.14,,11
